а - буквы русского алфавита {буквы} 	 type:NAN
ишиас - Заболевание седалищного нерва {Заболевание} 	 type:NAN
июль - месяц календарного года {месяц} 	 type:NAN
июнь - месяц календарного года {месяц} 	 type:NAN
йота - Буква греческого алфавита {Буква} 	 type:NAN
йотация - Появление согласного звука {Появление} 	 type:NAN
кабак - Заведение низшего разряда {Заведение} 	 type:NAN
кабель - герметическую защитную оболочку {оболочку} 	 type:AAN 
кабина - помещение специального назначения {помещение} 	 type:NAN
кабул - соус из сои {соус} 	 type:NPN
кавыка - надстрочного знака краткости {знака} 	 type:ANN 
кагор - красного десертного вина {вина} 	 type:AAN 
кадет - Воспитанник кадетского корпуса {Воспитанник} 	 type:NAN
кадка - посудина цилиндрической формы {посудина} 	 type:NAN
кадры - состав войсковых частей {состав} 	 type:NAN
казан - котел для приготовления {котел} 	 type:NPN
казарма - здание для размещения {здание} 	 type:NPN
казуистика - Применение общих статей {Применение} 	 type:NAN
кайла","кайло - инструмент для откалывания {инструмент} 	 type:NPN
какао - дерево из семян {дерево} 	 type:NPN
каланча - вышка пожарной части {вышка} 	 type:NAN
калейдоскоп - прибор для демонстрации {прибор} 	 type:NPN
калориметр - Прибор для измерения {Прибор} 	 type:NPN
калорифер - Прибор для нагревания {Прибор} 	 type:NPN
калькулятор - Специалист по калькуляции {Специалист} 	 type:NPN
калькуляция - Вычисление себестоимости покупной {Вычисление} 	 type:NNA 
кальмар - съедобный головоногий моллюск {моллюск} 	 type:AAN 
кальян - Прибор для курения {Прибор} 	 type:NPN
камаринская","камаринский - русской народной плясовой {плясовой} 	 type:AAN 
камаринская","камаринский - народной плясовой песни {плясовой} 	 type:ANN 
камас","камус - Шкура с голени {Шкура} 	 type:NPN
камедь - сок из коры {сок} 	 type:NPN
камень - нековкая горная порода {порода} 	 type:AAN 
камера - Помещение специального назначения {Помещение} 	 type:NAN
камергер - звание (для лиц {звание} 	 type:NPN
камка - шелковая цветная ткань {ткань} 	 type:AAN 
камлот - плотная шерстяная ткань {ткань} 	 type:AAN 
камнедробилка - Машина для дробления {Машина} 	 type:NPN
камчадалы - коренного населения Камчатки {населения} 	 type:ANN 
камышевка","камышовка - птица отряда воробьиных {птица} 	 type:NNA 
канавокопатель - Машина для прокладки {Машина} 	 type:NPN
канализация - Система труб подземных каналов {Система} 	 type:NNAN 
канат - веревка из волокон {веревка} 	 type:NPN
канаус - ткань полотняного переплетения {ткань} 	 type:NAN
канифас - полосатой бумажной ткани {ткани} 	 type:AAN 
канкан - эксцентрического эстрадного танца {танца} 	 type:AAN 
каноэ - лодка особого типа {лодка} 	 type:NAN
кантата - Жанр торжественной лирики {Жанр} 	 type:NAN
кантеле - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
кантователь - Механизм для кантовки {Механизм} 	 type:NPN
канцона - стихотворение особой формы {стихотворение} 	 type:NAN
капельмейстер - Дирижер военного духового оркестра {Дирижер} 	 type:NNAN 
капитализация - Превращение прибавочной стоимости {Превращение} 	 type:NAN
капиталист - Представитель господствующего класса {Представитель} 	 type:NAN
капитул - Коллегия духовных лиц {Коллегия} 	 type:NAN
капитуляция - Прекращение военных действий {Прекращение} 	 type:NAN
капкан - Приспособление для ловли {Приспособление} 	 type:NPN
капор - женский головной убор {убор} 	 type:AAN 
капот - платье свободного покроя {платье} 	 type:NAN
каприччио","каприччо - произведений свободной формы {произведений} 	 type:NAN
каптаж - Вскрытие подземного источника {Вскрытие} 	 type:NAN
каптенармус - лицо в армии {лицо} 	 type:NPN
капустница - дневная бабочка гусеницы {бабочка} 	 type:ANN 
караван - Группа вьючных животных {Группа} 	 type:NAN
каракулеводство - Разведение каракульских овец {Разведение} 	 type:NAN
каракульча - мех из шкурок {мех} 	 type:NPN
карамболь - Удар в бильярдной {Удар} 	 type:NPN
карат - Мера веса драгоценных камней {Мера} 	 type:NNAN 
караулка - Помещение для караула {Помещение} 	 type:NPN
карбас - небольшое парусное судно {судно} 	 type:AAN 
карбонад - Филе молодой свинины {Филе} 	 type:NAN
карбонарий - Член тайного общества {Член} 	 type:NAN
карбонат - Соль угольной кислоты {Соль} 	 type:NAN
карбюрация - Образование горючей смеси {Образование} 	 type:NAN
кардиограф - Прибор для записывания {Прибор} 	 type:NPN
кариокинез - способов размножения животной {способов} 	 type:NNA 
карманьола - народная революционная песня {песня} 	 type:AAN 
карнавал - праздник в Италии {праздник} 	 type:NPN
карта - Чертеж земной поверхности {Чертеж} 	 type:NAN
картеж - Игра в карты {Игра} 	 type:NPN
картежник - игрок в карты {игрок} 	 type:NPN
картишки - Уничиж к карты {Уничиж} 	 type:NPN
картограф - Специалист по картографии {Специалист} 	 type:NPN
картон - бумага особой выделки {бумага} 	 type:NAN
картонка - Коробка из картона {Коробка} 	 type:NPN
картофелекопатель - Машина для выкапывания {Машина} 	 type:NPN
картофелесажалка - Машина для посадки {Машина} 	 type:NPN
карточка - листок плотной бумаги {листок} 	 type:NAN
карьер - Место открытой разработки {Место} 	 type:NAN
каскетка - убор вроде фуражки {убор} 	 type:NPN
каста - замкнутая общественная группа {группа} 	 type:AAN 
катализ - Возбуждение химической реакции {Возбуждение} 	 type:NAN
каталка - Тележка для перевозки {Тележка} 	 type:NPN
катапульта - машина для метания {машина} 	 type:NPN
катар - Воспаление слизистой оболочки {Воспаление} 	 type:NAN
катаракт - Водопад большой ширины {Водопад} 	 type:NAN
катехизис - изложение христианского вероучения {изложение} 	 type:NAN
каток - Площадка для катания {Площадка} 	 type:NPN
каупер - Аппарат для нагревания {Аппарат} 	 type:NPN
каурка - Лошадь каурой масти {Лошадь} 	 type:NAN
каучуководство - Выращивание каучуконосных растений {Выращивание} 	 type:NAN
кафтан - долгополая верхняя одежда {одежда} 	 type:AAN 
кацавейка - одежда род распашной {одежда} 	 type:NNA 
кацавейка - женская народная одежда {одежда} 	 type:AAN 
кацавейка - народная одежда род {одежда} 	 type:ANN 
кашалот - млекопитающее из подотряда {млекопитающее} 	 type:NPN
каюк - речная плоскодонная лодка {лодка} 	 type:AAN 
квадратура - Число квадратных единиц {Число} 	 type:NAN
квазар - точечный космический объект {объект} 	 type:AAN 
квант - возможное количество энергии {количество} 	 type:ANN 
квасцы - двойных сернокислых солей {солей} 	 type:AAN 
квасцы - сернокислых солей (марганца {солей} 	 type:ANN 
квашня - посудина для заквашивания {посудина} 	 type:NPN
квитанция - расписка установленной формы {расписка} 	 type:NAN
кеб - экипаж в Англии {экипаж} 	 type:NPN
кегельбан - дорожка для игры {дорожка} 	 type:NPN
кегль","кегель - Размер типографской литеры {Размер} 	 type:NAN
кедровка - птица отряда воробьиных {птица} 	 type:NNA 
кельвин - единица термодинамической температуры {единица} 	 type:NAN
кемпинг - Лагерь для автотуристов {Лагерь} 	 type:NPN
кератит - Воспаление роговой оболочки {Воспаление} 	 type:NAN
керогаз - прибор род бесшумного примуса {прибор} 	 type:NNAN 
керогаз - керосиновый прибор род {прибор} 	 type:ANN 
кесарь - Титул древнеримских императоров {Титул} 	 type:NAN
кетгут - Нити из кишок {Нити} 	 type:NPN
кечуа - народов Южной Америки {народов} 	 type:NAN
кечуа - современных индейских народов {народов} 	 type:AAN 
кибитка - дорожная повозка повозки {повозка} 	 type:ANN 
кимвал - ударный музыкальный инструмент {инструмент} 	 type:AAN 
кинематика - Раздел теоретической механики {Раздел} 	 type:NAN
кинематограф - Аппарат для съемки {Аппарат} 	 type:NPN
кинетика - Раздел теоретической механики {Раздел} 	 type:NAN
киноаппаратура - Совокупность различных аппаратов {Совокупность} 	 type:NAN
киноварь - Минерал красного цвета {Минерал} 	 type:NAN
кинопанорама - Кинотеатр для демонстрации {Кинотеатр} 	 type:NPN
кинопленка - пленка для киносъемок {пленка} 	 type:NPN
кипарис - вечнозеленое хвойное дерево {дерево} 	 type:AAN 
кипень - пена на поверхности {пена} 	 type:NPN
кипятильник - Прибор для кипячения {Прибор} 	 type:NPN
кирасир - Всадник тяжелой кавалерии {Всадник} 	 type:NAN
кириллица - азбук старославянского языка {азбук} 	 type:NAN
кисет - Мешочек для табака {Мешочек} 	 type:NPN
кистень - оружие для нанесения {оружие} 	 type:NPN
кичка - убор замужней женщины {убор} 	 type:NAN
кичка - праздничный головной убор {убор} 	 type:AAN 
кишмиш - винограда без косточек {винограда} 	 type:NPN
кишмиш - мелкого сладкого винограда {винограда} 	 type:AAN 
клавесин - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
клавикорды - ударный музыкальный инструмент {инструмент} 	 type:AAN 
клавир - струнных клавишных инструментов {инструментов} 	 type:AAN 
клавир - клавишных инструментов (клавикордов {инструментов} 	 type:ANN 
кладовая - Помещение для хранения {Помещение} 	 type:NPN
клаксон - сигнальный гудок автомобиля {гудок} 	 type:ANN 
кларнет - духовой музыкальный инструмент {инструмент} 	 type:AAN 
классика - образцовые произведения литературы {произведения} 	 type:ANN 
классификатор - Специалист по классификации {Специалист} 	 type:NPN
клевер - бобовое кормовое растение {растение} 	 type:AAN 
клей - вещество для склеивания {вещество} 	 type:NPN
клемма - Устройство для присоединения {Устройство} 	 type:NPN
клетка - Помещение для птиц {Помещение} 	 type:NPN
клетка - единица строения живого организма {единица} 	 type:NNAN 
клещ - животное из класса {животное} 	 type:NPN
климатолог - Специалист по климатологии {Специалист} 	 type:NPN
клинопись - Способ письма древних народов {Способ} 	 type:NNAN 
клиринг - Система безналичных расчетов {Система} 	 type:NAN
клирос - Место для певчих {Место} 	 type:NPN
клоака - канал для стока {канал} 	 type:NPN
клобук - убор православных монахов {убор} 	 type:NAN
клоп - паразитическое кровососущее насекомое {насекомое} 	 type:AAN 
клопомор - Средство для истребления {Средство} 	 type:NPN
клумба - Грядка для цветов {Грядка} 	 type:NPN
клуня - Помещение для молотьбы {Помещение} 	 type:NPN
клюв - вытянутое двустворчатое окончание {окончание} 	 type:AAN 
клюв - двустворчатое окончание рта {окончание} 	 type:ANN 
ключ - приспособление для запирания {приспособление} 	 type:NPN
кляссер - Альбом для марок {Альбом} 	 type:NPN
клятва - уверение в чем {уверение} 	 type:NPN
княжата - сыновья князя удельных князей {сыновья} 	 type:NNAN 
князек - Гребень двускатной крыши {Гребень} 	 type:NAN
князек - сын князя небольшого племени {сын} 	 type:NNAN 
кобза - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
кобра - змея жарких стран {змея} 	 type:NAN
кобура - Футляр для пистолета {Футляр} 	 type:NPN
кобыз - смычковый музыкальный инструмент {инструмент} 	 type:AAN 
ковбойка - рубашка особого покроя {рубашка} 	 type:NAN
коготь - загнутое роговое образование {образование} 	 type:AAN 
код - Система условных знаков {Система} 	 type:NAN
кожан - пальто летучих мышей {пальто} 	 type:NAN
кожан - клеенчатое непромокаемое пальто {пальто} 	 type:AAN 
кожимит - различных заменителей кожи {заменителей} 	 type:ANN 
кожух - Тулуп из овчины {Тулуп} 	 type:NPN
козлетон - голос у певца {голос} 	 type:NPN
козлище - овец от козлищ {овец} 	 type:NPN
козлы - Сиденье для кучера {Сиденье} 	 type:NPN
козни - злые коварные умыслы {умыслы} 	 type:AAN 
козон - Кость из ноги {Кость} 	 type:NPN
койка - постель из парусины {постель} 	 type:NPN
кокарда - значок установленного образца {значок} 	 type:NAN
кокки - Бактерии шаровидной формы {Бактерии} 	 type:NAN
кокотка - женщина легкого поведения {женщина} 	 type:NAN
кокошник - женский головной убор {убор} 	 type:AAN 
колбасник - Специалист колбасного производства {Специалист} 	 type:NAN
колит - Воспаление толстой кишки {Воспаление} 	 type:NAN
коллапс - падение кровяного давления {падение} 	 type:NAN
коллегия - Группа должностных лиц {Группа} 	 type:NAN
колледж - заведение в Англии {заведение} 	 type:NPN
колледж - среднее учебное заведение {заведение} 	 type:AAN 
коллеж - заведение во Франции {заведение} 	 type:NPN
коллекция - собрание однородных предметов {собрание} 	 type:NAN
колли - Порода служебных собак {Порода} 	 type:NAN
коллизия - Столкновение противоположных взглядов {Столкновение} 	 type:NAN
коловорот - Инструмент для сверления {Инструмент} 	 type:NPN
колода - толстое лежачее бревно {бревно} 	 type:AAN 
колода - комплект игральных карт {комплект} 	 type:NAN
колокольня - Башня для колоколов {Башня} 	 type:NPN
колон - арендатор небольшого участка {арендатор} 	 type:NAN
колонат - зависимости сельского населения {зависимости} 	 type:NAN
колониализм - духовное порабощение стран {порабощение} 	 type:ANN 
колориметр - Прибор для измерения {Прибор} 	 type:NPN
колотовка - Приспособление из дерева {Приспособление} 	 type:NPN
колун - тупым клинообразным лезвием {лезвием} 	 type:AAN 
колыбель - кроватка для ребенка {кроватка} 	 type:NPN
колымага - закрытый четырехколесный экипаж {экипаж} 	 type:AAN 
кольдкрем - мазь для смягчения {мазь} 	 type:NPN
колядка - новогодняя обрядовая песня {песня} 	 type:AAN 
команда - устный приказ командира {приказ} 	 type:ANN 
командир - Начальник воинской части {Начальник} 	 type:NAN
комарник - Приспособление для защиты {Приспособление} 	 type:NPN
комбеды - Комитеты (деревенской бедноты {Комитеты} 	 type:NAN
комизм - комическая сторона чего {сторона} 	 type:ANN 
коммивояжер - торговый агент какой {агент} 	 type:ANN 
коммунист - Член коммунистической партии {Член} 	 type:NAN
коммутатор - Устройство для замыкания {Устройство} 	 type:NPN
компас - Прибор для определения {Прибор} 	 type:NPN
компенсатор - различных приборов устройств {приборов} 	 type:ANN 
комплот - Заговор против кого {Заговор} 	 type:NPN
компостер - Аппарат для компостирования {Аппарат} 	 type:NPN
компот - кушанье из фруктов {кушанье} 	 type:NPN
компрессор - Машина для сжатия {Машина} 	 type:NPN
компромисс - Соглашение с кем {Соглашение} 	 type:NPN
комфорт - Совокупность бытовых удобств {Совокупность} 	 type:NAN
конвейер - Машина непрерывного действия {Машина} 	 type:NAN
конвертер - агрегат для получения {агрегат} 	 type:NPN
конгломерат - соединение чего разнородного {соединение} 	 type:NNA 
конденсатор - Устройство для накопления {Устройство} 	 type:NPN
кондиционер - Прибор для кондиционирования {Прибор} 	 type:NPN
кондотьер - Предводитель наемной дружины {Предводитель} 	 type:NAN
конкуренция - Соперничество на каком {Соперничество} 	 type:NPN
коннозаводчик - Владелец конного завода {Владелец} 	 type:NAN
коновязь - Устройство для привязывания {Устройство} 	 type:NPN
конопля - растение из стеблей {растение} 	 type:NPN
консерватор - Человек консервативных убеждений {Человек} 	 type:NAN
консерватория - музыкальное учебное заведение {заведение} 	 type:AAN 
консоме - бульон из мяса {бульон} 	 type:NPN
консонантизм - Система согласных звуков {Система} 	 type:NAN
констебль - чин в Англии {чин} 	 type:NPN
континент - основных крупных частей {частей} 	 type:AAN 
континент - крупных частей суши {частей} 	 type:ANN 
контора - административно отделов предприятий {отделов} 	 type:ANN 
контр-адмирал - воинское адмиральское звание {звание} 	 type:AAN 
контральто - женский певческий голос {голос} 	 type:AAN 
контраст - выраженная противоположность живописи {противоположность} 	 type:ANN 
контроллер - Прибор для регулирования {Прибор} 	 type:NPN
контрразведка - Организация для противодействия {Организация} 	 type:NPN
контры - взаимные неудовольствия ссоры {неудовольствия} 	 type:ANN 
конура - Будка для собаки {Будка} 	 type:NPN
конфетница - Посуда для конфет {Посуда} 	 type:NPN
конфискация - безвозмездное изъятие денег {изъятие} 	 type:ANN 
конфликт - Столкновение противоположных сторон {Столкновение} 	 type:NAN
концентры - Круги различной величины {Круги} 	 type:NAN
концерт - исполнение музыкальных произведений {исполнение} 	 type:NAN
конъюнктура - области общественной жизни {области} 	 type:NAN
конюшня - Помещение для содержания {Помещение} 	 type:NPN
кооператор - Деятель в области {Деятель} 	 type:NPN
копал - природная твердая смола {смола} 	 type:AAN 
копалка - Орудие для копания {Орудие} 	 type:NPN
копач - землекоп для копания {землекоп} 	 type:NPN
копер - Устройство для вбивания {Устройство} 	 type:NPN
копра - Ядро кокосового ореха {Ядро} 	 type:NAN
корвет - корабль средних размеров {корабль} 	 type:NAN
корд - нить особой прочности {нить} 	 type:NAN
кордегардия - Помещение для военного {Помещение} 	 type:NPN
кордон - пограничный пост отрядов {пост} 	 type:ANN 
корзина - изделие из прутьев {изделие} 	 type:NPN
коринка - бессемянный сушеный виноград {виноград} 	 type:AAN 
кормозапарник - установка для запаривания {установка} 	 type:NPN
корморезка - Машина для резания {Машина} 	 type:NPN
корненожки - простейших животных (амеб {животных} 	 type:ANN 
корнеплоды - культурных растений (свеклы {растений} 	 type:ANN 
корнерезка - Машина для измельчения {Машина} 	 type:NPN
корнет - медный музыкальный инструмент {инструмент} 	 type:AAN 
корнет - чин в кавалерии {чин} 	 type:NPN
короб - Изделие из луба {Изделие} 	 type:NPN
коробка - ящичек (из картона {ящичек} 	 type:NPN
корова - домашнее молочное животное {животное} 	 type:AAN 
коронация - церковная церемония возложения {церемония} 	 type:ANN 
корообдирка - Машина для очистки {Машина} 	 type:NPN
коротышка - Человек небольшого роста {Человек} 	 type:NAN
корпия - старой полотняной ткани {ткани} 	 type:AAN 
корпия - полотняной ткани нитки {ткани} 	 type:ANN 
коррупция - Подкупность продажность должностных лиц {Подкупность} 	 type:NNAN 
корт - Площадка для игры {Площадка} 	 type:NPN
корчеватель - Машина для корчевания {Машина} 	 type:NPN
корыто - посудина для стирки {посудина} 	 type:NPN
коса - орудие для скашивания {орудие} 	 type:NPN
косилка - машина для скашивания {машина} 	 type:NPN
косметолог - Специалист по косметологии {Специалист} 	 type:NPN
космовидение - передача из космоса {передача} 	 type:NPN
костоеда - разрушение костной ткани {разрушение} 	 type:NAN
костяника - травянистое ягодное растение {растение} 	 type:AAN 
косынка - платок треугольной формы {платок} 	 type:NAN
котел - сосуд округлой формы {сосуд} 	 type:NAN
коттедж - дом в пригороде {дом} 	 type:NPN
кофеварка - Аппарат для приготовления {Аппарат} 	 type:NPN
кофейник - Сосуд для варки {Сосуд} 	 type:NPN
кофейница - мельница для размалывания {мельница} 	 type:NPN
кофемолка - Аппарат для размалывания {Аппарат} 	 type:NPN
кочкорез - орудие для срезания {орудие} 	 type:NPN
кош - летнее жилище кочевников {жилище} 	 type:ANN 
кош - Приспособление для ловли {Приспособление} 	 type:NPN
кошениль - насекомых из самок {насекомых} 	 type:NPN
кощунство - Оскорбление религиозной святыни {Оскорбление} 	 type:NAN
краги - голенища у перчаток {голенища} 	 type:NPN
краешек - узкая полоска чего {полоска} 	 type:ANN 
кран - Механизм для захватывания {Механизм} 	 type:NPN
краниология - Раздел сравнительной анатомии {Раздел} 	 type:NAN
краскопульт - Аппарат для нанесения {Аппарат} 	 type:NPN
красноармеец - Боец Красной Армии {Боец} 	 type:NAN
красногвардеец - Боец Красной гвардии {Боец} 	 type:NAN
краснозем - почва субтропической зоны {почва} 	 type:NAN
краснофлотец - звание рядового состава {звание} 	 type:NAN
крашенина - ткань домашнего изготовления {ткань} 	 type:NAN
кре'дит - страница приходно книг {страница} 	 type:NAN
креветка - рак из отряда {рак} 	 type:NPN
крез - Обладатель несметных богатств {Обладатель} 	 type:NAN
крейсерство - служба в каких {служба} 	 type:NPN
крематорий - Здание для кремации {Здание} 	 type:NPN
кренометр - Прибор для измерения {Прибор} 	 type:NPN
креозот - Продукт сухой перегонки {Продукт} 	 type:NAN
крепдешин - матовая шелковая ткань {ткань} 	 type:AAN 
крепыш - крепкого телосложения человек {телосложения} 	 type:ANN 
кресало - пластинка для высекания {пластинка} 	 type:NPN
крестоносец - Участник крестового похода {Участник} 	 type:NAN
кривошип - Звено кривошипного механизма {Звено} 	 type:NAN
кривуля - кривое изогнутое извилина {извилина} 	 type:AAN 
крик - напряженный звук голоса {звук} 	 type:ANN 
крикса - беспрерывный плач ребенка {плач} 	 type:ANN 
криминолог - Специалист по криминологии {Специалист} 	 type:NPN
криптография - система изменения обычного письма {система} 	 type:NNAN 
криптомерия - вечнозеленое хвойное дерево {дерево} 	 type:AAN 
кристаллограф - Специалист по кристаллографии {Специалист} 	 type:NPN
критицизм - отношение к чему {отношение} 	 type:NPN
крица - губчатая масса железа {масса} 	 type:ANN 
кровать - Предмет домашней обстановки {Предмет} 	 type:NAN
кровопускание - Извлечение из организма {Извлечение} 	 type:NPN
крольчатник - Помещение для кроликов {Помещение} 	 type:NPN
крот - Млекопитающее отряда насекомоядных {Млекопитающее} 	 type:NNA 
крохотка - малое количество чего {количество} 	 type:ANN 
кружево - изделие для украшения {изделие} 	 type:NPN
крупорушка - Машина для выработки {Машина} 	 type:NPN
крупчатка - мука лучшего помола {мука} 	 type:NAN
крыжовник - ягодный кустарник ягоды {кустарник} 	 type:ANN 
крысоловка - Ловушка для крыс {Ловушка} 	 type:NPN
кряж - Цепь невысоких гор {Цепь} 	 type:NAN
ку-клукс-клан - организация в США {организация} 	 type:NPN
ку-клукс-клан - расистская террористическая организация {организация} 	 type:AAN 
куб - Сосуд цилиндрической формы {Сосуд} 	 type:NAN
кубок - сосуд для питья {сосуд} 	 type:NPN
кукурузник - поле из видов {поле} 	 type:NPN
кулич - хлеб цилиндрической формы {хлеб} 	 type:NAN
кулич - сдобный высокий хлеб {хлеб} 	 type:AAN 
культиватор - орудие для рыхления {орудие} 	 type:NPN
культурность - Уровень культурного развития {Уровень} 	 type:NAN
кумач - ткань ярко цвета {ткань} 	 type:NAN
кумовство - Отношения между кумовьями {Отношения} 	 type:NPN
кумуляция - Усиление действия лекарственного вещества {Усиление} 	 type:NNAN 
кумыки - народов Дагестанской АССР {народов} 	 type:NAN
кумысолечебница - Учреждение для кумысолечения {Учреждение} 	 type:NPN
кунжут - растение из семян {растение} 	 type:NPN
кунсткамера - собрание разнообразных редкостей {собрание} 	 type:NAN
купорос - солей серной кислоты {солей} 	 type:NAN
купюра - стоимость бумажных денег {стоимость} 	 type:NAN
курага - абрикосы без косточек {абрикосы} 	 type:NPN
курбет - Прыжок верховой лошади {Прыжок} 	 type:NAN
курзал - Помещение для концертов {Помещение} 	 type:NPN
курилка - Помещение для курения {Помещение} 	 type:NPN
курильница - Прибор для сжигания {Прибор} 	 type:NPN
курильня - Заведение для курения {Заведение} 	 type:NPN
куропатка - птица отряда куриных {птица} 	 type:NNA 
курортолог - Специалист по курортологии {Специалист} 	 type:NPN
куртизанка - Женщина легкого поведения {Женщина} 	 type:NAN
куртина - Гряда для цветов {Гряда} 	 type:NPN
курьез - несуразный смешной случай {случай} 	 type:AAN 
курятник - Помещение для кур {Помещение} 	 type:NPN
кусачки - Щипцы для откусывания {Щипцы} 	 type:NPN
кусторез - Орудие для подрезания {Орудие} 	 type:NPN
кутья - Кушанье из риса {Кушанье} 	 type:NPN
кухлянка - рубаха у народов {рубаха} 	 type:NPN
кюветка - Ванночка для обработки {Ванночка} 	 type:NPN
кюре - священник во Франции {священник} 	 type:NPN
лабаз - Помещение для продажи {Помещение} 	 type:NPN
лаборант - сотрудник лаборатории научного учреждения {сотрудник} 	 type:NNAN 
лабрадор - Минерал из группы {Минерал} 	 type:NPN
лава - Забой большой протяженности {Забой} 	 type:NAN
лаванда - травянистое пахучее растение {растение} 	 type:AAN 
лавка - доска для сидения {доска} 	 type:NPN
лаг - прибор для измерения {прибор} 	 type:NPN
лагун - сосуд для жидкости {сосуд} 	 type:NPN
лазурит - Минерал темно-синего цвета {Минерал} 	 type:NAN
лактометр - Прибор для определения {Прибор} 	 type:NPN
лактоскоп - Прибор для определения {Прибор} 	 type:NPN
лакцы","лаки - коренных народов Дагестана {народов} 	 type:ANN 
лал - драгоценного красного камня {камня} 	 type:AAN 
ламаркизм - теория развития живой природы {теория} 	 type:NNAN 
лампа - прибор различного вида {прибор} 	 type:NAN
лампион - Фонарь из бумаги {Фонарь} 	 type:NPN
ланолин - Жир желтоватого цвета {Жир} 	 type:NAN
ланцетник - животное типа хордовых {животное} 	 type:NNA 
лапшевник - Запеканка из лапши {Запеканка} 	 type:NPN
ларец - Ящичек для хранения {Ящичек} 	 type:NPN
ларингит - Воспаление слизистой оболочки {Воспаление} 	 type:NAN
ларингоскоп - Прибор для осмотра {Прибор} 	 type:NPN
ларь - ящик для хранения {ящик} 	 type:NPN
ластик - Резинка для стирания {Резинка} 	 type:NPN
латифундия - частное земельное владение {владение} 	 type:AAN 
латка - Посуда род продолговатой миски {Посуда} 	 type:NNAN 
лафет - Станок артиллерийского орудия {Станок} 	 type:NAN
лафит - красного виноградного вина {вина} 	 type:AAN 
лаццарони - Бедняк в Италии {Бедняк} 	 type:NPN
лебедка - Машина для подъема {Машина} 	 type:NPN
левизна - мнимо левое направление {направление} 	 type:AAN 
легаш - Собака легавой породы {Собака} 	 type:NAN
леггорн - Порода яйценоских кур {Порода} 	 type:NAN
легенда - Совокупность условных знаков {Совокупность} 	 type:NAN
легислатура - период деятельности законодательного органа {период} 	 type:NNAN 
ледокол - Судно специального устройства {Судно} 	 type:NAN
ледолом - Сооружение около моста {Сооружение} 	 type:NPN
лежак - кровати для лежания {кровати} 	 type:NPN
лежанка - Выступ у печки {Выступ} 	 type:NPN
лейборист - Член рабочей партии {Член} 	 type:NAN
лейка - Сосуд для поливки {Сосуд} 	 type:NPN
лекало - линейка для вычерчивания {линейка} 	 type:NPN
лексикограф - Специалист по лексикографии {Специалист} 	 type:NPN
лексиколог - Специалист по лексикологии {Специалист} 	 type:NPN
лемминг - зверек из отряда {зверек} 	 type:NPN
леность - Склонность к лени {Склонность} 	 type:NPN
ленца - склонность к лени {склонность} 	 type:NPN
ленч - завтрак (после полудня {завтрак} 	 type:NPN
ленчик - основа кавалерийского седла {основа} 	 type:NAN
лепесток - листок из венчика {листок} 	 type:NPN
лепет - несвязная неясная речь {речь} 	 type:AAN 
лепет - неясная речь (ребенка {речь} 	 type:ANN 
лепта - монета в Греции {монета} 	 type:NPN
лерка - Инструмент для нарезания {Инструмент} 	 type:NPN
леса - сооружение из досок {сооружение} 	 type:NPN
лесомелиоратор - Специалист по лесомелиорации {Специалист} 	 type:NPN
лесопилка - завод для распиловки {завод} 	 type:NPN
лесополоса - Полоса лесных насаждений {Полоса} 	 type:NAN
лесоспуск - Сооружение для транспортировки {Сооружение} 	 type:NPN
лесотаска - устройство для вытаскивания {устройство} 	 type:NPN
лесоукладчик - Машина для укладки {Машина} 	 type:NPN
лесс - порода светло-желтого цвета {порода} 	 type:NAN
лесс - рыхлая горная порода {порода} 	 type:AAN 
лестовка - четки у старообрядцев {четки} 	 type:NPN
лесть - угодливое восхваление кого {восхваление} 	 type:ANN 
летальность - Частота смертельных исходов {Частота} 	 type:NAN
летник - декоративные садовые растения {растения} 	 type:AAN 
лето - теплое время года {время} 	 type:ANN 
летопись - запись исторических событий {запись} 	 type:NAN
летяга - Животное из отряда {Животное} 	 type:NPN
лечебница - учреждение специального назначения {учреждение} 	 type:NAN
лжетолкование - неправильное ложное толкование {толкование} 	 type:AAN 
ливер - пищу внутренности убойных животных {пищу} 	 type:NNAN 
лигнит - уголь низкого качества {уголь} 	 type:NAN
лизунец - Кусок каменной соли {Кусок} 	 type:NAN
ликвидаторство - направление в РСДРП {направление} 	 type:NPN
ликер - крепкий спиртной напиток {напиток} 	 type:AAN 
лимнолог - Специалист по лимнологии {Специалист} 	 type:NPN
лимон - плодовое цитрусовое дерево {дерево} 	 type:AAN 
лимонад - прохладительный безалкогольный напиток {напиток} 	 type:AAN 
лимфаденит - Воспаление лимфатических узлов {Воспаление} 	 type:NAN
линейка - многоместный открытый экипаж {экипаж} 	 type:AAN 
линолеум - материал для покрытия {материал} 	 type:NPN
