абажур - Колпак для лампы {Колпак} 	 type:NPN
катет - сторона прямоугольного треугольника {сторона} 	 type:NAN
катехизис - изложение христианского вероучения {изложение} 	 type:NAN
каток - площадка для катания {площадка} 	 type:NPN
каток - Приспособление для глаже {Приспособление} 	 type:NPN
каток - орудие для разбивки {орудие} 	 type:NPN
катыш - Маленький круглый комок {комок} 	 type:AAN 
каучуконос - Растение из к {Растение} 	 type:NPN
кафе-бар - Кафе с продажей {Кафе} 	 type:NPN
кафе-мороженое - Кафе с продажей {Кафе} 	 type:NPN
кафедра - Возвышение для оратора {Возвышение} 	 type:NPN
кафтан - долгополая верхняя одежда {одежда} 	 type:AAN 
кацавейка - распашная короткая кофта {кофта} 	 type:AAN 
качество - Совокупность существенных признаков {Совокупность} 	 type:NAN
кашалот - млекопитающее подотряда зубатых китов {млекопитающее} 	 type:NNAN 
кашне - Узкий шейный шарф {шарф} 	 type:AAN 
квадрат - офицерского знака различия {знака} 	 type:ANN 
квант - наименьшее количество энергии {количество} 	 type:ANN 
квартира - Место временного расположения {Место} 	 type:NAN
квасцы - сернокислая соль алюминия {соль} 	 type:ANN 
квашенина - Корм для скота {Корм} 	 type:NPN
квашня - толстом неповоротливом человеке {человеке} 	 type:AAN 
кекс - сладкое мучное изделие {изделие} 	 type:AAN 
кельты - кельт древних племен {кельт} 	 type:NAN
кемпинг - лагерь для автотуристов {лагерь} 	 type:NPN
кенгуру - Австралийское сумчатое млекопитающее {млекопитающее} 	 type:AAN 
кепка - мягкий головной убор {убор} 	 type:AAN 
керогаз - прибор род бесшумного примуса {прибор} 	 type:NNAN 
керогаз - нагревательный прибор род {прибор} 	 type:ANN 
кетмень - мотыги для окучивания {мотыги} 	 type:NPN
кивер - высокий головной убор {убор} 	 type:AAN 
кимвал - ударный музыкальный инструмент {инструмент} 	 type:AAN 
кимоно - одежда свободного покроя {одежда} 	 type:NAN
кинематографист - Специалист по кинематографии {Специалист} 	 type:NPN
киноаппарат - Аппарат для киносъемок {Аппарат} 	 type:NPN
киноварь - Минерал красного цвета {Минерал} 	 type:NAN
кинокамера - Камера для киносъемок {Камера} 	 type:NPN
кинолог - Специалист по кинологии {Специалист} 	 type:NPN
киномеханик - Специалист по демонстрации {Специалист} 	 type:NPN
кинопередвижка - установка для показа {установка} 	 type:NPN
кипарис - вечнозеленое хвойное дерево {дерево} 	 type:AAN 
кипрей - многолетнее травянистое растение {растение} 	 type:AAN 
кипятильник - Прибор для кипячения {Прибор} 	 type:NPN
кипяток - вспыльчивом горячем человеке {человеке} 	 type:AAN 
кириллица - древних славянских азбук {азбук} 	 type:AAN 
кисет - мешочек для табака {мешочек} 	 type:NPN
кислятина - вялый человек (пренебр {человек} 	 type:ANN 
кифара - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
кичка - убор замужней женщины {убор} 	 type:NAN
кичка - праздничный головной убор {убор} 	 type:AAN 
кишечник - Отдел пищеварительной системы {Отдел} 	 type:NAN
кишка - труба для подачи {труба} 	 type:NPN
кишлак - селение оседлых жителей {селение} 	 type:NAN
кишмиш - иСорт мелкого винограда {иСорт} 	 type:NAN
клавесин - щипково музыкальный инструмент {инструмент} 	 type:AAN 
клавикорды - клавишный музыкальный инструмент {инструмент} 	 type:AAN 
кладбище - Место массового залегания {Место} 	 type:NAN
кладовая - Помещение для хранения {Помещение} 	 type:NPN
клапан - Нашивка из куска {Нашивка} 	 type:NPN
кларнет - духовой музыкальный инструмент {инструмент} 	 type:AAN 
класс - целостное множество каких {множество} 	 type:ANN 
клеймо - след (чего плохого {след} 	 type:NNA 
клейстер - Клей из крахмала {Клей} 	 type:NPN
клещ - животное отряда паукообразных {животное} 	 type:NNA 
клещ - членистоногое животное отряда {животное} 	 type:ANN 
кликушество - Проявление женской истерии {Проявление} 	 type:NAN
клинкер - водонепроницаемый искусственный камень {камень} 	 type:AAN 
клирос - место для певчих {место} 	 type:NPN
кличка - Имя домашнего животного {Имя} 	 type:NAN
кличка - шутливое насмешливое прозвище {прозвище} 	 type:AAN 
клоака - канал для стока {канал} 	 type:NPN
клобук - монашеский головной убор {убор} 	 type:AAN 
клоунада - Жанр циркового искусства {Жанр} 	 type:NAN
клуб - летучая дымчатая масса {масса} 	 type:AAN 
клубника - крупной садовой земляники {земляники} 	 type:AAN 
ключ - отличительный знак камергера {знак} 	 type:ANN 
ключица - кость плечевого пояса {кость} 	 type:NAN
кляссер - Альбом для марок {Альбом} 	 type:NPN
клёст - Небольшая лесная птица {птица} 	 type:AAN 
книгообмен - Обмен книжной продукцией {Обмен} 	 type:NAN
книгохранилище - Помещение для хранения {Помещение} 	 type:NPN
книжка - номер толстого журнала {номер} 	 type:NAN
книжник - Работник книжной торговли {Работник} 	 type:NAN
книта - подразделение литературного произведения {подразделение} 	 type:NAN
княжество - нек современных государств {нек} 	 type:NAN
кобель - Самец собаки Черного кобеля {Самец} 	 type:NNAN 
кобра - змея жарких стран {змея} 	 type:NAN
кобура - чехол для револьвера {чехол} 	 type:NPN
кобчик - хищная птица рода {птица} 	 type:ANN 
кобыла - рослой нескладной женщине {женщине} 	 type:AAN 
ковбойка - рубашка простого покроя {рубашка} 	 type:NAN
когорта - сплоченная группа соратников {группа} 	 type:ANN 
код - Система условных обозначений {Система} 	 type:NAN
кожица - тонкий покров листьев {покров} 	 type:ANN 
кожух - одежда из кожи {одежда} 	 type:NPN
козерог - Дикий горный козел {козел} 	 type:AAN 
козлище - овец от козлищ {овец} 	 type:NPN
козлы - Сиденье для кучера {Сиденье} 	 type:NPN
кока-кола - Тонизирующий прохладительный напиток {напиток} 	 type:AAN 
коклюш - преимущ детская болезнь {болезнь} 	 type:AAN 
кокос - Орех кокосовой пальмы {Орех} 	 type:NAN
кокошник - женский головной убор {убор} 	 type:AAN 
кокошник - заостренное завершение фасада {завершение} 	 type:ANN 
колесница - большой колесный экипаж {экипаж} 	 type:AAN 
колибри - птичка отряда длиннокрылых {птичка} 	 type:NNA 
колибри - маленькая птичка отряда {птичка} 	 type:ANN 
колит - Воспаление толстой кишки {Воспаление} 	 type:NAN
коллаж - наклеивание на какую {наклеивание} 	 type:NPN
коллегия - Группа должностных лиц {Группа} 	 type:NAN
коллегия - центральных правительственных учреждений {учреждений} 	 type:AAN 
коллегия - нек учебных заведений {нек} 	 type:NAN
колледж - среднее учебное заведение {заведение} 	 type:AAN 
коллектор - галерея для укладки {галерея} 	 type:NPN
коллизия - Столкновение каких противоположных сил {Столкновение} 	 type:NNAN 
коллодий - раствор на смеси {раствор} 	 type:NPN
коловорот - инструмент для сверления {инструмент} 	 type:NPN
колода - Короткое толстое бревно {бревно} 	 type:AAN 
колода - Комплект игральных карт {Комплект} 	 type:NAN
колодка - Планка для ношения {Планка} 	 type:NPN
колокол - Ударный музыкальный инструмент {инструмент} 	 type:AAN 
колокольчик - Ударный музыкальный инструмент {инструмент} 	 type:AAN 
колония - Общежитие лиц поселенных {Общежитие} 	 type:NNA 
колонка - разных технических устройств {устройств} 	 type:AAN 
колонка - Установка для отпуска {Установка} 	 type:NPN
колосок - небольшой простой колос {колос} 	 type:AAN 
колотушка - устройство из дощечек {устройство} 	 type:NPN
колпак - конусообразный головной убор {убор} 	 type:AAN 
колхоз - дружной группе людей {группе} 	 type:ANN 
колчан - Футляр для стрел {Футляр} 	 type:NPN
колымага - тяжелый крытый экипаж {экипаж} 	 type:AAN 
колымага - громоздкая неуклюжая повозка {повозка} 	 type:AAN 
коляда - святочный крестьянский обряд {обряд} 	 type:AAN 
коляска - повозка для катания {повозка} 	 type:NPN
коляска - тележка специального назначения {тележка} 	 type:NAN
команда - приказ установленной формы {приказ} 	 type:NAN
команда - Начальствование над какой {Начальствование} 	 type:NPN
команда - Группа связанных чем {Группа} 	 type:NAN
командир - Начальник воинской части {Начальник} 	 type:NAN
командировка - Поездка для выполнения {Поездка} 	 type:NPN
командование - собир Лица руководящего {собир} 	 type:NNA 
командор - высшее звание рыцаря {звание} 	 type:ANN 
командор - воинское звание офицера {звание} 	 type:ANN 
комбинат - Объединение промышленных предприятий {Объединение} 	 type:NAN
комбинат - Объединение учебных заведений {Объединение} 	 type:NAN
комбинаторика - Раздел дискретной математики {Раздел} 	 type:NAN
комета - быстроходное пассажирское судно {судно} 	 type:AAN 
комик - Человек веселого нрава {Человек} 	 type:NAN
комиссар - начальник полицейского участка {начальник} 	 type:NAN
комиссия - Учреждение специального назначения {Учреждение} 	 type:NAN
комментарий - примечания к какому {примечания} 	 type:NPN
коммунист - Член коммунистической партии {Член} 	 type:NAN
коммутатор - устройств для изменения {устройств} 	 type:NPN
коммутатор - местной телефонной станции {станции} 	 type:AAN 
комната - помещение для жилья {помещение} 	 type:NPN
комната - помещение в каком {помещение} 	 type:NPN
компенсация - Вознаграждение за что {Вознаграждение} 	 type:NPN
композиция - Теория сочинения музыкальных произведений {Теория} 	 type:NNAN 
компресс - повязка из марли {повязка} 	 type:NPN
компрессор - Машина для сжатия {Машина} 	 type:NPN
компьютер - вычислительная машина (ЭВМ {машина} 	 type:ANN 
комсомол - коммунистический союз молодежи {союз} 	 type:ANN 
конвенция - договор по какому {договор} 	 type:NPN
конверсия - конверсия военного производства {конверсия} 	 type:NAN
конверт - упаковка для писем {упаковка} 	 type:NPN
конгломерат - соединение чего разнородного {соединение} 	 type:NNA 
конгресс - нек политических партий {нек} 	 type:NAN
конденсация - Накопление в каком {Накопление} 	 type:NPN
кондиционер - Аппарат для кондиционирования {Аппарат} 	 type:NPN
конногвардеец - ейца царской армии {ейца} 	 type:NAN
коннозаводство - Разведение породистых лошадей {Разведение} 	 type:NAN
консерватор - Человек консервативных убеждений {Человек} 	 type:NAN
консерватор - Член консервативной партии {Член} 	 type:NAN
консерватория - музыкальное учебное заведение {заведение} 	 type:AAN 
конструкция - связанное сочетание слов {сочетание} 	 type:ANN 
консул - лицо дипломатического ведомства {лицо} 	 type:NAN
консул - высших правительственных лиц {лиц} 	 type:AAN 
контаминация - возникновение нового выражения {возникновение} 	 type:NAN
контейнер - вместилище для транспортировки {вместилище} 	 type:NPN
контора - административно отделов учреждений {отделов} 	 type:ANN 
конторка - помещение для мастера {помещение} 	 type:NPN
контральто - низкий женский голос {голос} 	 type:AAN 
контрнаступление - ходе оборонительных действий {ходе} 	 type:NAN
контрразведка - органы для противодействия {органы} 	 type:NPN
конура - Будочка для собаки {Будочка} 	 type:NPN
конфедерация - Союз независимых государств {Союз} 	 type:NAN
конфетница - Вазочка для конфет {Вазочка} 	 type:NPN
конфетти - бумажные кружочки к {кружочки} 	 type:ANN 
концентрат - Продукт обогащения полезных ископаемых {Продукт} 	 type:NNAN 
концерн - объединения разных предприятий {объединения} 	 type:NAN
концерт - исполнение музыкальных произведений {исполнение} 	 type:NAN
концертино - Виртуозное музыкальное произведение {произведение} 	 type:AAN 
концертино - музыкальное произведение типа {произведение} 	 type:ANN 
кооператив - Магазин потребительской кооперации {Магазин} 	 type:NAN
кооперация - производственное торговое объединение {объединение} 	 type:AAN 
копилка - Собрание чего занимательного {Собрание} 	 type:NNA 
копнитель - машина для сбора {машина} 	 type:NPN
копотня - вялое исполнение чего {исполнение} 	 type:ANN 
кора - наружная многослойная ткань {ткань} 	 type:AAN 
кора - многослойная ткань ствола {ткань} 	 type:ANN 
кора - верхний слой чего {слой} 	 type:ANN 
корвет - трехмачтовое военное судно {судно} 	 type:AAN 
корж - изделие из теста {изделие} 	 type:NPN
коринка - виноград без семян {виноград} 	 type:NPN
коринка - мелкий черный виноград {виноград} 	 type:AAN 
корифей - деятель на каком {деятель} 	 type:NPN
корка - твердый слой хлеба {слой} 	 type:ANN 
корнет - чинов в кавалерии {чинов} 	 type:NPN
корнет - младших офицерских чинов {чинов} 	 type:AAN 
корнет - мундштучный музыкальный инструмент {инструмент} 	 type:AAN 
короб - изделие для укладки {изделие} 	 type:NPN
коробка - Вместилище для че {Вместилище} 	 type:NPN
коровник - Помещение для коров {Помещение} 	 type:NPN
коромысло - Предмет для ношения {Предмет} 	 type:NPN
коромысло - Деталь рычажного механизма {Деталь} 	 type:NAN
корпус - Крупное войсковое соединение {соединение} 	 type:AAN 
коррида - зрелище в Испании {зрелище} 	 type:NPN
коррупция - разложение должностных лиц {разложение} 	 type:NAN
корсаж - пояс у юбки {пояс} 	 type:NPN
корсет - широкий ортопедический пояс {пояс} 	 type:AAN 
корт - Площадка для игры {Площадка} 	 type:NPN
корчага - большой глиняный сосуд {сосуд} 	 type:AAN 
корчма - время в Белоруссии {время} 	 type:NPN
корыто - сосуд для стирки {сосуд} 	 type:NPN
корыто - продолговатый открытый сосуд {сосуд} 	 type:AAN 
корь - преимущ детская болезнь {болезнь} 	 type:AAN 
косилка - Машина для косьбы {Машина} 	 type:NPN
косица - небольшая прядь волос {прядь} 	 type:ANN 
косметика - Искусственное придание красоты {придание} 	 type:ANN 
косметичка - сумочка для предметов {сумочка} 	 type:NPN
космовидение - передачи из космоса {передачи} 	 type:NPN
космология - Учение о Вселенной {Учение} 	 type:NPN
косой - горизонту к поверхности {горизонту} 	 type:NPN
костыль - Устройство для опоры {Устройство} 	 type:NPN
кость - кости в кости {кости} 	 type:NPN
кот - похотливом сластолюбивом мужчине {мужчине} 	 type:AAN 
котелок - сосуд для еды {сосуд} 	 type:NPN
коттедж - дом в пригороде {дом} 	 type:NPN
коттедж - жилой благоустроенный дом {дом} 	 type:AAN 
кофеварка - Прибор для варки {Прибор} 	 type:NPN
кофейник - Сосуд для варки {Сосуд} 	 type:NPN
кофемолка - Прибор для размола {Прибор} 	 type:NPN
кофта - просторная верхняя одежда {одежда} 	 type:AAN 
кочерыжка - утолщенный стебель капусты {стебель} 	 type:ANN 
кош - знач запорожских казаков {знач} 	 type:NAN
кошель - снаряд для ловли {снаряд} 	 type:NPN
кошениль - Насекомое из тела {Насекомое} 	 type:NPN
кошка - Самка домашнего кота {Самка} 	 type:NAN
краб - Консервы из мяса {Консервы} 	 type:NPN
краги - Раструбы у перчаток {Раструбы} 	 type:NPN
краковяк - народный быстрый танец {танец} 	 type:AAN 
кран - Машина для подъема {Машина} 	 type:NPN
кран - Прибор для управления {Прибор} 	 type:NPN
красивость - внешняя красота украшения {красота} 	 type:ANN 
красноармеец - ейца Красной Армии {ейца} 	 type:NAN
красота - места (в природе {места} 	 type:NPN
красота - Красивые прекрасные места {места} 	 type:AAN 
красотка - Миловидная молодая женщина {женщина} 	 type:AAN 
кратер - гора на поверхности {гора} 	 type:NPN
крахмал - порошок растительного происхождения {порошок} 	 type:NAN
крейсер - быстроходный боевой корабль {корабль} 	 type:AAN 
крем - Мазь для обуви {Мазь} 	 type:NPN
крем-сода - Сладкий прохладительный напиток {напиток} 	 type:AAN 
крематорий - здание для кремации {здание} 	 type:NPN
крепление - Приспособление для закрепления {Приспособление} 	 type:NPN
крепостник - Владелец крепостных крестьян {Владелец} 	 type:NAN
крепостничество - идеология поборников крепостного права {идеология} 	 type:NNAN 
крест - Символ христианского культа {Символ} 	 type:NAN
крест - стоящее крестообразное сооружение {сооружение} 	 type:AAN 
крестовина - Приспособление для перевода {Приспособление} 	 type:NPN
крестоносец - Участник крестового похода {Участник} 	 type:NAN
крещение - Зимний церковный праздник {праздник} 	 type:AAN 
крещение - церковный праздник крещения {праздник} 	 type:ANN 
кривизна - место К стола {место} 	 type:NPN
кривой - изогнутый Кривая линия {линия} 	 type:AAN 
кривотолки - неосновательные рассуждения сплетни {рассуждения} 	 type:ANN 
криз - острый приступ болезни {приступ} 	 type:ANN 
кризис - перелом в чем {перелом} 	 type:NPN
крик - резкий звук голоса {звук} 	 type:ANN 
криминолог - Специалист по криминологии {Специалист} 	 type:NPN
криминология - Наука о преступности {Наука} 	 type:NPN
критика - суждение о чем {суждение} 	 type:NPN
критицизм - отношение к чему {отношение} 	 type:NPN
кровь - крови в крови {крови} 	 type:NPN
кровь - узах родства родственных {узах} 	 type:NNA 
крокодил - пресмыкающееся теплых стран {пресмыкающееся} 	 type:NAN
кроль - Стиль спортивного плавания {Стиль} 	 type:NAN
крольчатник - Помещение для кроликов {Помещение} 	 type:NPN
кроманьонец - человек эпохи позднего палеолита {человек} 	 type:NNAN 
крона - единица в Чехии {единица} 	 type:NPN
крот - Млекопитающее отряда насекомоядных {Млекопитающее} 	 type:NNA 
кругляшка - небольшой круглый предмет {предмет} 	 type:AAN 
круговорот - беспрерывное движение чего {движение} 	 type:ANN 
крупа - дробленое зерно нек {зерно} 	 type:ANN 
крупорушка - Машина для изготовления {Машина} 	 type:NPN
крупчатка - мука лучшего помола {мука} 	 type:NAN
крыло - поверхность летательного аппарата {поверхность} 	 type:NAN
крыло - лопасть колеса ветряного двигателя {лопасть} 	 type:NNAN 
крыло - левая группировка какой {группировка} 	 type:ANN 
крысоловка - Капкан для крыс {Капкан} 	 type:NPN
ксерокс - Устройство для ксерографичес {Устройство} 	 type:NPN
ку-клукс-клан - организация в США {организация} 	 type:NPN
ку-клукс-клан - Террористическая расистская организация {организация} 	 type:AAN 
куб - Сосуд для перегонки {Сосуд} 	 type:NPN
кубанец - Казак на Кубани {Казак} 	 type:NPN
кубышка - толстой маленького роста {толстой} 	 type:NAN
кувалда - неуклюжей толстой женщине {женщине} 	 type:AAN 
кузнец - Рабочий кузнечного производства {Рабочий} 	 type:NAN
кузнечик - насекомое отряда прямокрылых {насекомое} 	 type:NNA 
кузов - Короб из лыка {Короб} 	 type:NPN
кузов - Корпус перевозочного средства {Корпус} 	 type:NAN
кукловод - Артист кукольного театра {Артист} 	 type:NAN
куколка - Насекомое в стадии {Насекомое} 	 type:NPN
кулак - ударная группировка войск {группировка} 	 type:ANN 
кулак - звено в нек {звено} 	 type:NPN
кулеш - Густая крупяная похлебка {похлебка} 	 type:AAN 
кулинар - Специалист по кулинарии {Специалист} 	 type:NPN
кулич - высокий белый хлеб {хлеб} 	 type:AAN 
кулуары - Помещения вне зала {Помещения} 	 type:NPN
куль - мера сыпучих тел {мера} 	 type:NAN
куль - русская торговая мера {мера} 	 type:AAN 
кульминация - Точка наивысшего напряжения {Точка} 	 type:NAN
культ - Преклонение перед кем {Преклонение} 	 type:NPN
культиватор - Орудие для рыхления {Орудие} 	 type:NPN
культуризм - Система гимнастических упражнений {Система} 	 type:NAN
культуролог - Специалист по культурологии {Специалист} 	 type:NPN
кунжут - растение теплых стран {растение} 	 type:NAN
куплет - Строфа песни лирического стихотворения {Строфа} 	 type:NNAN 
куплет - Смешные сатирические песенки {песенки} 	 type:AAN 
купон - талон ценной бумаги {талон} 	 type:NAN
купон - Суррогат денежного знака {Суррогат} 	 type:NAN
купорос - нек солей серной кислоты {нек} 	 type:NNAN 
курага - абрикосы без косточек {абрикосы} 	 type:NPN
куранты - большие комнатные часы {часы} 	 type:AAN 
курильня - Заведение для курения {Заведение} 	 type:NPN
курица - птиц отряда куриных {птиц} 	 type:NNA 
курок - рка ударного механизма {рка} 	 type:NAN
курослеп - нек травянистых растений {нек} 	 type:NAN
курс - годичная ступень образования {ступень} 	 type:ANN 
курс - Изложение научной дисциплины {Изложение} 	 type:NAN
курс - Направление какой политической {Направление} 	 type:NNA 
курсы - нек учебных заведений {нек} 	 type:NAN
куртизанка - Женщина легкого поведения {Женщина} 	 type:NAN
курьер - лицо для разъездов {лицо} 	 type:NPN
курятник - Помещение для кур {Помещение} 	 type:NPN
кус - кусок (чего съедобного {кусок} 	 type:NNA 
кус - Большой кусок (чего {кусок} 	 type:ANN 
кутья - каша (из риса {каша} 	 type:NPN
кухлянка - верхняя меховая одежда {одежда} 	 type:AAN 
куча - Скопление чего сыпучего {Скопление} 	 type:NNA 
кушетка - мебель без спинки {мебель} 	 type:NPN
кювет - Канава для стока {Канава} 	 type:NPN
лабаз - Помещение для торговли {Помещение} 	 type:NPN
лаборант - сотрудник лаборатории научного учреждения {сотрудник} 	 type:NNAN 
лаборатория - сторона творческой деятельности {сторона} 	 type:NAN
лавина - Массы снега снежных глыб {Массы} 	 type:NNAN 
лавочка - незаконных жульнических махинациях {махинациях} 	 type:AAN 
лаг - Прибор для определения {Прибор} 	 type:NPN
лагуна - водоем коралловых островов {водоем} 	 type:NAN
лад - Строй музыкального произведения {Строй} 	 type:NAN
лад - Клавиши гармоники струнного {Клавиши} 	 type:NNA 
ладанка - мешочек с каким {мешочек} 	 type:NPN
ладушки - шек в ладушки {шек} 	 type:NPN
лаз - Устройство для доступа {Устройство} 	 type:NPN
лазурит - Минерал синего цвета {Минерал} 	 type:NAN
лайка - кожи из шкур {кожи} 	 type:NPN
лак - изделия из дерева {изделия} 	 type:NPN
лакировка - Лакированные женские туфли {туфли} 	 type:AAN 
лампа - прибор различного устройства {прибор} 	 type:NAN
лампион - фонарь для иллюминации {фонарь} 	 type:NPN
ландшафт - Рельеф земной поверхности {Рельеф} 	 type:NAN
ланцет - обоюдоострый хирургический ножичек {ножичек} 	 type:AAN 
лапа - Ветвь хвойного дерева {Ветвь} 	 type:NAN
лапочка - Милый симпатичный человек {человек} 	 type:AAN 
ларец - ящичек для хранения {ящичек} 	 type:NPN
ларингит - Воспаление слизистой оболочки {Воспаление} 	 type:NAN
ласт - конечность водных животных {конечность} 	 type:NAN
ласт - обычноПриспособление для плавания {обычноПриспособление} 	 type:NPN
ластик - шелковистая хлопчатобумажная ткань {ткань} 	 type:AAN 
ласточка - птица отряда воробьиных {птица} 	 type:NNA 
лафет - Станок артиллерийского орудия {Станок} 	 type:NAN
лафит - красного виноградного вина {вина} 	 type:AAN 
лебёдка - Машина для подъема {Машина} 	 type:NPN
левада - береговые лиственные леса {леса} 	 type:AAN 
левизна - мнимо левое направление {направление} 	 type:AAN 
левретка - комнатная собака породы {собака} 	 type:ANN 
легат - представитель римского папы {представитель} 	 type:NAN
легенда - предание о каком {предание} 	 type:NPN
легенда - героических событиях прошлого {событиях} 	 type:ANN 
легион - крупная войсковая единица {единица} 	 type:AAN 
легион - частей в нек {частей} 	 type:NPN
легион - особых воинских частей {частей} 	 type:AAN 
ледниковье - период в истории {период} 	 type:NPN
лежак - кровати для лежания {кровати} 	 type:NPN
лежак - жесткой переносной кровати {кровати} 	 type:AAN 
лежанка - выступ (у печки {выступ} 	 type:NPN
лезгинка - кавказский народный танец {танец} 	 type:AAN 
лейборнгст - Член \"Рабочей партии {Член} 	 type:NAN
лейка - Черпак для выливания {Черпак} 	 type:NPN
лейко - заболевание кроветворной ткани {заболевание} 	 type:NAN
лек - единица в Албании {единица} 	 type:NPN
лекало - инструмент для вычерчивания {инструмент} 	 type:NPN
лекатство - синтетическое лечебное средство {средство} 	 type:AAN 
лексикограф - Специалист по лексикографии {Специалист} 	 type:NPN
лексиколог - Специалист по лек {Специалист} 	 type:NPN
лекция - изложение учебного предмета {изложение} 	 type:NAN
лемур - зверек тропических лесов {зверек} 	 type:NAN
лента - полоса из какого {полоса} 	 type:NPN
лепет - неясная речь (ребенка {речь} 	 type:ANN 
лепта - единица в Греции {единица} 	 type:NPN
лепёшка - Плоское круглое изделие {изделие} 	 type:AAN 
леса - сооружение из стоек {сооружение} 	 type:NPN
лесник - Работник лесного хозяйства {Работник} 	 type:NAN
лесопарк - массив в городе {массив} 	 type:NPN
лесосека - Участок спелого леса {Участок} 	 type:NAN
лето - теплое время года {время} 	 type:ANN 
летопись - русской повествовательной литературы {литературы} 	 type:AAN 
летучка - собрание для решения {собрание} 	 type:NPN
лечебница - учреждение специального назначения {учреждение} 	 type:NAN
леший - его славянской мифологии {его} 	 type:NAN
либерал - Член либеральной партии {Член} 	 type:NAN
ливер - Продукт из печени {Продукт} 	 type:NPN
лигатура - Нить для перевязывания {Нить} 	 type:NPN
ликёр - пряный спиртной напиток {напиток} 	 type:AAN 
линейка - Планка для вычерчивания {Планка} 	 type:NPN
линия - Черта на плоскости {Черта} 	 type:NPN
линия - Путь сообщения (железнодорожного {Путь} 	 type:NNA 
линия - русская мера длины {мера} 	 type:ANN 
линолеум - полимерный рулонный материал {материал} 	 type:AAN 
лира - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
лира - струнный музыкальный инструмент {инструмент} 	 type:AAN 
лира - единица в Италии {единица} 	 type:NPN
лирик - Автор лирических произведений {Автор} 	 type:NAN
лисичка - гриб желтого цвета {гриб} 	 type:NAN
лист - Единица измерения печатного текста {Единица} 	 type:NNAN 
литограф - Мастер литографского дела {Мастер} 	 type:NAN
литография - Печатание с поверхности {Печатание} 	 type:NPN
литургия - дневное христианское богослужение {богослужение} 	 type:AAN 
литургия - Цикл духовных песнопений {Цикл} 	 type:NAN
лицеист - Воспитанник дворянского лицея {Воспитанник} 	 type:NAN
лицей - привилегированное учебное заведение {заведение} 	 type:AAN 
лицей - заведение в нек {заведение} 	 type:NPN
лицеприятие - отношение к кому {отношение} 	 type:NPN
лицо - передняя верхняя сторона {сторона} 	 type:AAN 
лицо - верхняя сторона предмета {сторона} 	 type:ANN 
личинка - животное в стадии {животное} 	 type:NPN
лобовой - передней части чего {части} 	 type:ANN 
лобогрейка - Жнейка простой конструкции {Жнейка} 	 type:NAN
ловушка - Приспособление для поимки {Приспособление} 	 type:NPN
ловчила - (прост неодобр Человек {Человек} 	 type:AAN 
логопед - Специалист по логопедии {Специалист} 	 type:NPN
лодка - нек видов военных судов {нек} 	 type:NNAN 
лодочка - Открытые женские туфли {туфли} 	 type:AAN 
ложе - Место для спанья {Место} 	 type:NPN
ложка - Предмет для зачерпыва {Предмет} 	 type:NPN
ложка - ударный музыкальный инструмент {инструмент} 	 type:AAN 
лоза - гибкий стебель нек {стебель} 	 type:ANN 
локатор - Устройство для локации {Устройство} 	 type:NPN
локоть - русская мера длины {мера} 	 type:ANN 
лом - металлический заостренный стержень {стержень} 	 type:AAN 
ломбард - Учреждение для выдачи {Учреждение} 	 type:NPN
ломоть - мтя для еды {мтя} 	 type:NPN
лопасть - плоский конец чего {конец} 	 type:ANN 
лопата - орудие для копания {орудие} 	 type:NPN
лорд - дворянский наследственный титул {титул} 	 type:AAN 
лот - Прибор для измерения {Прибор} 	 type:NPN
лотерея - Розыгрыш вещей денежных сумм {Розыгрыш} 	 type:NNAN 
лоток - прилавок для торговли {прилавок} 	 type:NPN
лоток - желоб для стока {желоб} 	 type:NPN
лоток - сосуд для чего {сосуд} 	 type:NPN
лоточник - Продавец с лотка {Продавец} 	 type:NPN
лоция - Руководство для плавания {Руководство} 	 type:NPN
лошадка - игра в лошадки {игра} 	 type:NPN
лук - оружие для метания {оружие} 	 type:NPN
лукавый - добродушной хитрости Л {хитрости} 	 type:ANN 
луковица - Расширение в нек {Расширение} 	 type:NPN
лунка - углубление в чем {углубление} 	 type:NPN
лучник - Стрелок из лука {Стрелок} 	 type:NPN
лыжи - полозья для хождения {полозья} 	 type:NPN
лысина - пятно в шерсти {пятно} 	 type:NPN
лье - французская мера длины {мера} 	 type:ANN 
любовь - Чувство глубокого расположения {Чувство} 	 type:NAN
людская - Помещение для слуг {Помещение} 	 type:NPN
люлька - помост для подъема {помост} 	 type:NPN
люмпен-пролетариат - Деклассированный слой людей {слой} 	 type:ANN 
лядунка - сумка для патронов {сумка} 	 type:NPN
ляжка - покров бедренной кости {покров} 	 type:NAN
лёсс - порода светло-желтого цвета {порода} 	 type:NAN
лёсс - Рыхлая горная порода {порода} 	 type:AAN 
мавзолей - надгробное мемориальное сооружение {сооружение} 	 type:AAN 
мавры - населения африканского государства {населения} 	 type:NAN
магазин - Склад для хранения {Склад} 	 type:NPN
магистр - (низшая ученая степень {степень} 	 type:AAN 
магнат - обладатель больших поместий {обладатель} 	 type:NAN
магнето - Устройство для образования {Устройство} 	 type:NPN
