абиссинцы - населения Эфиопии {населения}
ехидца - доля ехидства {доля}
жабры - Органы дыхания {Органы}
жаворонок - птица отряда {птица}
жадничанье - Проявление жадности {Проявление}
жакоб - стиля мебели {стиля}
жалоба - Выражение неудовольствия {Выражение}
жалость - Чувство соболезнования {Чувство}
жандармерия - полицейские войска {полицейские}
жар - степень тепла {степень}
жара - температура воздуха {температура}
жаргон - язык какой {язык}
жаровыносливость - Способность растений {Способность}
жатва - Уборка хлебов {Уборка}
железина - Кусок железа {Кусок}
железка - кусок железа {кусок}
железяка - Кусок железа {Кусок}
желтуха - окраска кожи {окраска}
желудок - Орган пищеварения {Орган}
желудь - Плод дуба {Плод}
жемчужина - зерно жемчуга {зерно}
женитьба - Вступление мужчины {Вступление}
женоубийца - Убийца жены {Убийца}
жеребенок - Детеныш лошади {Детеныш}
жеребец - Самец лошади {Самец}
жеребок - Шкурка жеребенка {Шкурка}
жеребьевка - Вынимание жребиев {Вынимание}
жеребятина - Мясо жеребенка {Мясо}
жерло - отверстие ствола {отверстие}
жертвоприношение - Обряд принесения {Обряд}
жестикуляция - Применение жестов {Применение}
жжение - ощущение жара {ощущение}
живопись - искусства картины {искусства}
живорождение - Способ воспроизведения {Способ}
живость - Быстрота движений {Быстрота}
жизнеобеспечение - Обеспечение условий {Обеспечение}
жизнеописание - Описание чьей {Описание}
жизнепонимание - Совокупность взглядов {Совокупность}
жизнь - движения материи {движения}
жилкование - Расположение жилок {Расположение}
жим - Поднятие штанги {Поднятие}
жирномолочность - Содержание жира {Содержание}
жирность - Степень содержания {Степень}
жировка - Кормежка птицы {Кормежка}
жирондист - Член жиронды {Член}
жироприказ - распоряжение вкладчика {распоряжение}
жиротопление - Получение жира {Получение}
житье - Условия существования {Условия}
жмыхи - Остатки семян {Остатки}
жонглерство - Искусство жонглера {Искусство}
жор - клев рыбы {клев}
жречество - Занятия обязанности {Занятия}
журавленок - Птенец журавля {Птенец}
журавль - птица отряда {птица}
журфикс - Прием гостей {Прием}
жюри - Группа специалистов {Группа}
за'пах - Свойство предметов {Свойство}
забастовка - прекращение работы {прекращение}
забастовщик - Участник забастовки {Участник}
забвение - Утрата воспоминаний {Утрата}
забой - ходе работ {ходе}
заболеваемость - количество заболеваний {количество}
заболонь - слой древесины {слой}
забытье - потеря сознания {потеря}
завеса - кусок ткани {кусок}
зависть - Чувство досады {Чувство}
завиток - прядь волос {прядь}
завихрение - Образование вихрей {Образование}
завсегдатай - посетитель чего {посетитель}
загадка - описание какого {описание}
загар - цвет кожи {цвет}
заговор - Набор слов {Набор}
загонщик - Участник облавы {Участник}
загс - Отдел исполкома {Отдел}
задача - выполнения разрешения {выполнения}
задачник - Сборник задач {Сборник}
задира - Зачинщик ссор {Зачинщик}
задолженность - Наличие долга {Наличие}
задумчивость - Состояние размышления {Состояние}
заем - Взятие (денег {Взятие}
зажин - Начало жатвы {Начало}
зажор","зажора - Скопление льда {Скопление}
зазнайство - Поведение того {Поведение}
заиление - Заполнение русла {Заполнение}
займодержатель - Владелец облигаций {Владелец}
зайчатина - Мясо зайца {Мясо}
зайчиха - Самка зайца {Самка}
зайчонок - Детеныш зайца {Детеныш}
заказ - Запрет запрещение {Запрет}
закись - степень окисления {степень}
законник - Знаток законов {Знаток}
законоведение - Совокупность сведений {Совокупность}
законоположение - Совокупность законов {Совокупность}
законопроект - Проект закона {Проект}
законоучитель - Преподаватель закона {Преподаватель}
закраина - Край чего {Край}
закрутасы - линии петли {линии}
залежка - Лежбище моржей {Лежбище}
залив - звуки лая {звуки}
залог - Категория глагола {Категория}
залог - Обеспечение каким {Обеспечение}
залужение - Создание луга {Создание}
залысина - участок головы {участок}
замашка - особь конопли {особь}
заменитель - Материал продукт {Материал}
заместительство - исполнение обязанностей {исполнение}
замор - гибель рыбы {гибель}
замполит - Заместитель командира {Заместитель}
замужество - Вступление (женщины {Вступление}
замысел - план действий {план}
занавеска - Полотнище ткани {Полотнище}
заноза - кусочек дерева {кусочек}
запад - стран света {стран}
западник - Сторонник западничества {Сторонник}
запал - Повреждение зерна {Повреждение}
запас - количество чего {количество}
запев - Начало былины {Начало}
записка - Листок бумаги {Листок}
заплата - Кусок какого {Кусок}
заплачка - Причитание невесты {Причитание}
запоздание - Несвоевременность явки {Несвоевременность}
заполярье - Области пространства {Области}
запор - задержка стула {задержка}
запыленность - Насыщенность воздуха {Насыщенность}
запятая - Знак препинания {Знак}
зарево - Отсвет пожара {Отсвет}
зарегулирование - Введение регулярности {Введение}
заря - освещение горизонта {освещение}
заседание - Собрание членов {Собрание}
застенок - Место пыток {Место}
застой - Отсутствие развития {Отсутствие}
застреха - край крыши {край}
засуха - отсутствие дождей {отсутствие}
затворничество - образ жизни {образ}
затейник - затеям человек {затеям}
затейничество - Организация забав {Организация}
затишье - прекращение ветра {прекращение}
затоваренность - Скопление товара {Скопление}
зачес - Расположение волос {Расположение}
зачин - Начало былины {Начало}
заяц - зверек отряда {зверек}
звездопад - падение метеоров {падение}
зверенок - Детеныш зверя {Детеныш}
звереныш - Детеныш зверя {Детеныш}
звуковоспроизведение - Воспроизведение звукозаписи {Воспроизведение}
звукоизоляция - Совокупность устройств {Совокупность}
звукометрия - Способ определения {Способ}
звукопроводность - Способность тела {Способность}
звукосочетание - Сочетание звуков {Сочетание}
здоровье - Состояние организма {Состояние}
зейгерование - Способ разделения {Способ}
зеленщик - Продавец зелени {Продавец}
зеленя - всходы хлебов {всходы}
землепользование - Порядок условия {Порядок}
землечерпание - Выемка грунта {Выемка}
земля - буквы «з {буквы}
земляне - жителей планеты {жителей}
земляничина - ягода земляники {ягода}
зензубель - инструмент род {инструмент}
зенит - точка развития {точка}
зеница - Зрачок глаз {Зрачок}
зеркало - поверхность чего {поверхность}
зернопогрузчик - машина зернохранилищ {машина}
зима - время года {время}
зимовье - Проведение зимы {Проведение}
зимогор - Босяк бродяга {Босяк}
злоба - Чувство недоброжелательства {Чувство}
зложелательство - Желание зла {Желание}
злотый - единица Польши {единица}
знание - Обладание какими {Обладание}
значимость - Наличие значения {Наличие}
золовка - Сестра мужа {Сестра}
золотник - мера веса {мера}
золоудаление - Удаление золы {Удаление}
золоулавливание - Улавливание золы {Улавливание}
золь - частицы какого {частицы}
зольность - Содержание золы {Содержание}
зоопсихология - Отрасль психологии {Отрасль}
зэ - буквы «з {буквы}
зябь - вспашка поля {вспашка}
ибис - Птица отряда {Птица}
ивняк - кустарник заросли {кустарник}
иволга - птица отряда {птица}
иврит - язык Израиля {язык}
иглотерапия - Метод лечения {Метод}
игрок - Участник какой {Участник}
идеология - Система идей {Система}
идиш - Язык части {Язык}
иена - единица Японии {единица}
иероглифика - Совокупность знаков {Совокупность}
иждивение - Деньги средства {Деньги}
избоина - Остатки семян {Остатки}
извоз - Перевозка грузов {Перевозка}
издольщина - аренды земли {аренды}
изжога - Ощущение жжения {Ощущение}
излишек - удовлетворении потребности {удовлетворении}
излишество - количество чего {количество}
изложница - отливки металла {отливки}
изнанка - сторона чего {сторона}
изножье - место постели {место}
износостойкость - Способность (материала {Способность}
изобретательство - Деятельность изобретателя {Деятельность}
изография - воспроизведение письмен {воспроизведение}
изоляционист - Сторонник изоляционизма {Сторонник}
изоморфизм - Способность веществ {Способность}
изоморфный - строением кристаллов {строением}
израильтяне - племен Израиля {племен}
израстание - развитие растений {развитие}
изреженность - густота всходов {густота}
изъязвление - Образование язв {Образование}
изюм - ягоды винограда {ягоды}
изюмина - ягода изюма {ягода}
икона - изображение бога {изображение}
иконоборец - Сторонник иконоборчества {Сторонник}
икринка - зернышко икры {зернышко}
икрометание - Метание икры {Метание}
икс - конца буквы {конца}
иллюзионизм - Показ фокусов {Показ}
иллюзия - восприятие действительности {восприятие}
иллюминация - освещение зданий {освещение}
ильмовник - Заросли ильма {Заросли}
имажинист - Последователь имажинизма {Последователь}
имбирь - растение корневища {растение}
имение - владение помещика {владение}
имеретины","имеретинцы - группа грузин {группа}
иммунитет - Невосприимчивость организма {Невосприимчивость}
императрица - Жена императора {Жена}
империализм - стадия капитализма {стадия}
имперфект - время глагола {время}
импрессионист - Последователь импрессионизма {Последователь}
инвазия - Заражение человека {Заражение}
инвар - Сплав железа {Сплав}
инвариантность - Свойство величин {Свойство}
инвентарь - Совокупность предметов {Совокупность}
индейка - птица отряда {птица}
индетерминист - Последователь индетерминизма {Последователь}
индийцы - Население Индии {Население}
индология - Совокупность наук {Совокупность}
индонезийцы - Население Индонезии {Население}
индуизм - религий мира {религий}
индукция - Способ рассуждения {Способ}
индустриализация - Процесс создания {Процесс}
индусы - Последователи индуизма {Последователи}
индюк - Самец индейки {Самец}
индюшатина - Мясо индюшки {Мясо}
индюшонок - Птенец индюшки {Птенец}
инерция - Свойство тела {Свойство}
инженерша - Жена инженера {Жена}
инжир - дерево смоква {дерево}
инициалы - буквы имени {буквы}
инкассо - операция получения {операция}
инквизитор - Судья инквизиции {Судья}
инкубация - период болезни {период}
иннервация - Снабжение органов {Снабжение}
инобытие - бытия существования {бытия}
иноходь - Способ бега {Способ}
инспекторство - Должность инспектора {Должность}
инструментарий - Совокупность инструментов {Совокупность}
интеллект - способности человека {способности}
интервент - Участник интервенции {Участник}
интервенционист - Сторонник интервенции {Сторонник}
интервью - печати радио {печати}
интернатура - стажировки врачей {стажировки}
интернационализм - солидарность рабочих {солидарность}
интернационалист - Сторонник интернационализма {Сторонник}
интерпелляция - запроса депутата {запроса}
интоксикация - Отравление организма {Отравление}
интроскопия - наблюдение объектов {наблюдение}
интроспекция - наблюдение состояний {наблюдение}
интуитивист - Сторонник интуитивизма {Сторонник}
инфант - Титул принца {Титул}
инфаркт - Очаг омертвения {Очаг}
инфильтрация - Просачивание тканей {Просачивание}
инфицирование - Внесение инфекции {Внесение}
ионизация - Образование ионов {Образование}
иорданцы - Население Иордании {Население}
иракцы - Население Ирака {Население}
иранистика - Совокупность наук {Совокупность}
иранцы - Население Ирана {Население}
ириска - конфета ири {конфета}
иррадиация - увеличение размеров {увеличение}
искра - частица чего {частица}
искусство - воспроизведение действительности {воспроизведение}
ислам - религий мира {религий}
исламизм - система ислама {система}
испаритель - установок служащих {установок}
исповедь - Обряд покаяния {Обряд}
исполнительство - Исполнение какого {Исполнение}
исправница - Жена исправника {Жена}
испуг - чувство страха {чувство}
истерика - Припадок истерии {Припадок}
истома - Чувство усталости {Чувство}
ихтиология - Раздел зоологии {Раздел}
ишак - Помесь лошади {Помесь}
йеменцы - Население Йемена {Население}
йог - Последователь йоги {Последователь}
йодоформ - Препарат йода {Препарат}
кабанина - Мясо кабана {Мясо}
кабатчик - Содержатель кабака {Содержатель}
кабачок - растение род {растение}
кабельтов - мера длины {мера}
кавалерист - Военнослужащий кавалерии {Военнослужащий}
кавалькада - Группа всадников {Группа}
кавыка - знака краткости {знака}
каган - Титул главы {Титул}
кагат - Куча картофеля {Куча}
кагатирование - Устройство кагатов {Устройство}
кадастр - Опись чего {Опись}
кадры - состав работников {состав}
казенщина - формализм рутина {формализм}
казначей - Хранитель денег {Хранитель}
казнокрадство - Обкрадывание казны {Обкрадывание}
казнь - мера наказания {мера}
какавелла - Шелуха семян {Шелуха}
кал - Содержимое кишечника {Содержимое}
календы - день месяца {день}
кали - окиси калия {окиси}
калибр - Диаметр пули {Диаметр}
калинник - Заросли калины {Заросли}
калиф - написание слова {написание}
калорийность - Количество энергии {Количество}
калориметрия - Совокупность методов {Совокупность}
калория - единица измерения {единица}
калым - народов стран {народов}
калькуляция - Вычисление себестоимости {Вычисление}
камаринская","камаринский - плясовой песни {плясовой}
каменобоец - разбиванием камня {разбиванием}
камнерез - Мастер резьбы {Мастер}
кампанейщина - Отсутствие планомерности {Отсутствие}
кампания - Совокупность операций {Совокупность}
камуфлет - взрыв мины {взрыв}
камуфляж - Способ маскировки {Способ}
камчадалы - населения Камчатки {населения}
камышевка","камышовка - птица отряда {птица}
камышина - Стебель камыша {Стебель}
канадцы - Население Канады {Население}
канализация - Система труб {Система}
кандела - единица силы {единица}
каникулы - Перерыв занятий {Перерыв}
канонир - Рядовой артиллерии {Рядовой}
кантор - Певчий хора {Певчий}
канцелярист - Служащий канцелярии {Служащий}
канцелярия - Отдел учреждения {Отдел}
капель - Падение капель {Падение}
капельмейстер - Дирижер военного {Дирижер}
капер - судно противника {судно}
капиллярность - Способность жидкости {Способность}
капитулянтство - Поведение капитулянта {Поведение}
капля - частица жидкости {частица}
каптерка - Склад имущества {Склад}
капустница - бабочка гусеницы {бабочка}
карабинер - карабином солдат {карабином}
караван - Группа судов {Группа}
карамелька - конфета карамели {конфета}
карандаш - палочка графита {палочка}
карантин - изоляция больных {изоляция}
карат - Мера веса {Мера}
каратэ - система самозащиты {система}
караул - охрана стража {охрана}
карбид - Соединение углерода {Соединение}
карбонизация - Насыщение какого {Насыщение}
карборунд - Соединение кремния {Соединение}
кардиограмма - изображение работы {изображение}
кардиография - Запись работы {Запись}
кардиология - Раздел медицины {Раздел}
каре - Построение пехоты {Построение}
кариокинез - способов размножения {способов}
карканье - Крик вороны {Крик}
каркас - Остов какого {Остов}
карст - Совокупность явлений {Совокупность}
картвелы - Самоназвание грузин {Самоназвание}
картина - Произведение живописи {Произведение}
картотека - собрание карточек {собрание}
картофелина - клубень картофеля {клубень}
карточка - листок билета {листок}
каскадер - Исполнитель номера {Исполнитель}
кассация - Способ обжалования {Способ}
кассир - Работник кассы {Работник}
каталепсия - Состояние неподвижности {Состояние}
катаракта - Помутнение хрусталика {Помутнение}
катетеризация - Введение катетера {Введение}
католикос - Титул главы {Титул}
каустик - гидроокиси натрия {гидроокиси}
кахетинцы - группа грузин {группа}
кацавейка - одежда род {одежда}
качка - Колебание судна {Колебание}
кваканье - Крик лягушки {Крик}
квант - количество энергии {количество}
квартиросъемщик - Съемщик квартиры {Съемщик}
квартирохозяин - Владелец квартиры {Владелец}
квасцы - солей (марганца {солей}
квиетист - Последователь квиетизма {Последователь}
кедровка - птица отряда {птица}
кельты - Группа племен {Группа}
келья - Жилище монаха {Жилище}
кенийцы - Население Кении {Население}
керн - Образец породы {Образец}
керогаз - прибор род {прибор}
кетмень - Орудие типа {Орудие}
ки'са - кличка кошки {кличка}
кибернетизация - Введение методов {Введение}
кибитка - повозка (тарантаса {повозка}
киловатт - Единица измерения {Единица}
киловатт-час - единица измерения {единица}
килограмм - Единица веса {Единица}
километр - Единица длины {Единица}
кильватер - Струя воды {Струя}
кинематографист - Работник кинематографии {Работник}
кинематография - Искусство съемки {Искусство}
кинодокументалистика - Область кинематографии {Область}
кинодраматургия - Совокупность киносценариев {Совокупность}
кинолюбительство - Занятие кинолюбителей {Занятие}
кинопрокат - Выпуск кинофильмов {Выпуск}
кинопромышленность - Отрасль промышленности {Отрасль}
кинорежиссер - Постановщик фильма {Постановщик}
киносеть - Совокупность кинотеатров {Совокупность}
киноустановка - Совокупность оборудования {Совокупность}
кинофестиваль - Показ кинофильмов {Показ}
кинофильм - Произведение кинематографии {Произведение}
киношник - Работник кинематографии {Работник}
киприоты - Население Кипра {Население}
киска - кличка кошки {кличка}
кислотность - Степень содержания {Степень}
китаеведение - Совокупность наук {Совокупность}
кишечник - Совокупность кишок {Совокупность}
клавир - инструментов (клавикордов {инструментов}
кладбище - Место скопления {Место}
кладовщик - Работник кладовой {Работник}
кладь - Поклажа груз {Поклажа}
клака - группа людей {группа}
клаксон - гудок автомобиля {гудок}
клан - община род {община}
класс - Разряд судов {Разряд}
классика - произведения литературы {произведения}
клерикал - Сторонник клерикализма {Сторонник}
клетка - единица строения {единица}
клецки - Кусочки теста {Кусочки}
клеш - покрой юбки {покрой}
климактерий - Период угасания {Период}
климат - режим погоды {режим}
клин - кусок дерева {кусок}
клинкер - влаги кирпича {влаги}
клинопись - Способ письма {Способ}
клирик - Член клира {Член}
клише - воспроизведения иллюстраций {воспроизведения}
клохтанье - крик курицы {крик}
клубнеплоды - Группа растений {Группа}
клубника - растение рода {растение}
клюв - окончание рта {окончание}
клюквина - ягода клюквы {ягода}
кляп - Кусок дерева {Кусок}
клятвопреступление - Нарушение клятвы {Нарушение}
книга - Произведение печати {Произведение}
книгоед - Насекомое отряда {Насекомое}
книгоноша - Продавец книг {Продавец}
книгопечатание - печатание текста {печатание}
книгочей - Любитель чтения {Любитель}
кнутовище - Рукоятка кнута {Рукоятка}
княгиня - Жена князя {Жена}
княжата - сыновья князя {сыновья}
княжич - сын князя {сын}
княжна - дочь князя {дочь}
князек - сын князя {сын}
князь - Предводитель войска {Предводитель}
коагуляция - Процесс слипания {Процесс}
кобель - Самец собаки {Самец}
кобыла - Самка лошади {Самка}
кобылятина - Мясо кобылы {Мясо}
когорта - Отряд войска {Отряд}
кодекс - свод законов {свод}
кожа - покров тела {покров}
кожанка - куртка пальто {куртка}
кожимит - заменителей кожи {заменителей}
кожура - оболочка плода {оболочка}
козел - Самец козы {Самец}
козленок - Детеныш козы {Детеныш}
козлятина - Мясо козы {Мясо}
козоводство - Разведение коз {Разведение}
кокетство - Поведение того {Поведение}
коксохимия - Область химии {Область}
колер - цвет краски {цвет}
коллаборационизм - сотрудничество коллаборационистов {сотрудничество}
коллектив - Группа лиц {Группа}
коллективист - Сторонник коллективизма {Сторонник}
коллекционер - Собиратель коллекции {Собиратель}
коллекционерство - Собирание коллекций {Собирание}
коллоквиум - Беседа преподавателя {Беседа}
колониализм - порабощение стран {порабощение}
колонист - Житель колонии {Житель}
колоннада - Ряд колонн {Ряд}
колонцифра - номер страницы {номер}
колоратура - пассажи рулады {пассажи}
колос - Соцветие большинства {Соцветие}
колошение - Образование колосьев {Образование}
колтун - Болезнь кожи {Болезнь}
колумбарий - Хранилище урн {Хранилище}
колумбийцы - население Колумбии {население}
колхозник - Член колхоза {Член}
ком - Кусок какого {Кусок}
команда - приказ командира {приказ}
командир - Начальник звена {Начальник}
командирша - Жена командира {Жена}
комбайнер - Водитель комбайна {Водитель}
комбайностроение - Отрасль машиностроения {Отрасль}
комбат - Командир батареи {Командир}
комбриг - Командир бригады {Командир}
комдив - Командир дивизии {Командир}
комендор - Звание матроса {Звание}
комизм - сторона чего {сторона}
комиссия - Группа лиц {Группа}
комитетчик - Член комитета {Член}
коммивояжер - агент какой {агент}
коммуна - Коллектив лиц {Коллектив}
коммуникация - Путь сообщения {Путь}
коммутация - Изменение соединений {Изменение}
компенсатор - приборов устройств {приборов}
компетенция - Область вопросов {Область}
компиляция - Составление каких {Составление}
комплект - набор каких {набор}
компрессия - Сжатие воздуха {Сжатие}
комсомол - союз молодежи {союз}
комсомолец - Член комсомола {Член}
конвекция - Перенос теплоты {Перенос}
конвергенция - Совпадение каких {Совпадение}
конверсия - Изменение условий {Изменение}
конвой - Группа кораблей {Группа}
конгломерат - соединение чего {соединение}
конголезцы - Население Конго {Население}
конгрессмен - Член конгресса {Член}
коневодство - Отрасль животноводства {Отрасль}
конечности - Руки ноги {Руки}
конина - Мясо лошади {Мясо}
конклав - Собрание кардиналов {Собрание}
конкурсант - Участник конкурса {Участник}
коннозаводство - Разведение лошадей {Разведение}
коногон - Погонщик лошади {Погонщик}
конокрадство - Кража лошадей {Кража}
коноплеводство - Возделывание конопли {Возделывание}
конопляник - Участок земли {Участок}
консерваторец - Студент консерватории {Студент}
консилиум - Совещание врачей {Совещание}
консистенция - Степень подвижности {Степень}
конституция - закон государства {закон}
конструктивист - Последователь конструктивизма {Последователь}
консультация - Обсуждение какого {Обсуждение}
контингент - Совокупность людей {Совокупность}
континент - частей суши {частей}
контокоррент - счет операции {счет}
контора - отделов предприятий {отделов}
контрактация - Заключение контракта {Заключение}
контрапункт - Искусство сочетания {Искусство}
контраст - противоположность живописи {противоположность}
контрданс - танец (род {танец}
контрразведчик - Работник контрразведки {Работник}
контрудар - удар войск {удар}
контрфорс - выступ стены {выступ}
контры - неудовольствия ссоры {неудовольствия}
контур - очертание предмета {очертание}
конфедерат - Участник конфедерации {Участник}
конфедерация - Союз государств {Союз}
конфискация - изъятие денег {изъятие}
конфуз - Состояние смущения {Состояние}
концертмейстер - Руководитель группы {Руководитель}
концессионер - Владелец концессии {Владелец}
конъюнктива - оболочка глаза {оболочка}
конъюнктивит - Воспаление конъюнктивы {Воспаление}
кооперация - организации труда {организации}
кооптация - Пополнение состава {Пополнение}
копилка - ящичек кружка {ящичек}
копна - Куча сена {Куча}
копотня - исполнение чего {исполнение}
коптитель - Коптитель неба# {Коптитель}
копулировка - способов прививки {способов}
корабельщик - Владелец корабля {Владелец}
кораблекрушение - Гибель корабля {Гибель}
коралл - животное род {животное}
кордебалет - Артисты балета {Артисты}
кордон - пост отрядов {пост}
корифей - Руководитель хора {Руководитель}
корка - слой коры {слой}
корм - Пища животных {Пища}
кормило - Руль судна {Руль}
корненожки - животных (амеб {животных}
корнеплоды - растений (свеклы {растений}
королевич - Сын короля {Сын}
королевна - Дочь короля {Дочь}
король - Титул монарха {Титул}
коронация - церемония возложения {церемония}
коростель - Птица с {Птица}
корпия - ткани нитки {ткани}
корпорация - Группа лиц {Группа}
корпускула - Частица материи {Частица}
корректировка - Внесение поправок {Внесение}
корректор - Работник типографии {Работник}
корректура - Исправление ошибок {Исправление}
коррида - Бой тореадора {Бой}
коррозия - Разрушение металлов {Разрушение}
коррупция - Подкупность продажность {Подкупность}
корчи - сокращения мышц {сокращения}
космогония - Раздел астрономии {Раздел}
космография - Описание Вселенной {Описание}
космодром - Комплекс сооружений {Комплекс}
космы - Пряди волос {Пряди}
косоглазие - Болезнь глаз {Болезнь}
косогор - Склон горы {Склон}
косолапость - Искривление стопы {Искривление}
косорукость - положение кисти {положение}
косослой - Порок строения {Порок}
костер - куча дров {куча}
косторез - Мастер резьбы {Мастер}
костюмер - Работник театра {Работник}
костяк - Остов человека {Остов}
костянка - Плод растений {Плод}
косушка - Полбутылки водки {Полбутылки}
косяк - Гурт кобыл {Гурт}
кот - Самец кошки {Самец}
котенок - Детеныш кошки {Детеныш}
кофе - дерево (зерна {дерево}
кочан - Головка капусты {Головка}
кочерыжка - стебель кочана {стебель}
кош - жилище кочевников {жилище}
кошатник - Любитель кошек {Любитель}
кошель - мешок сума {мешок}
краболов - Ловец крабов {Ловец}
краеведение - Совокупность знаний {Совокупность}
краешек - полоска чего {полоска}
кража - хищение чьей {хищение}
край - линия какого {линия}
крайность - степень чего {степень}
краниометрия - Измерение черепа {Измерение}
крапивник - Заросли крапивы {Заросли}
краса - Красота ","Прелести {Красота}
краюха - ломоть хлеба {ломоть}
креди'т - Предоставление товаров {Предоставление}
кредо - Символ веры {Символ}
крекинг - Переработка нефти {Переработка}
кремация - Сжигание трупов {Сжигание}
кремнезем - двуокиси кремния {двуокиси}
крен - наклон судна {наклон}
крепыш - телосложения человек {телосложения}
крестины - Обряд крещения {Обряд}
крестьянство - Класс крестьян {Класс}
крик - звук голоса {звук}
крикса - плач ребенка {плач}
криминал - признаки преступления {признаки}
криница - Колодец родник {Колодец}
криптография - система изменения {система}
кристаллизация - Процесс образования {Процесс}
крица - масса железа {масса}
