...борец - участник спортивных игр {участник} 	 type:NAN
доломитизация - Процесс обогащения известковых пород {Процесс} 	 type:NNAN 
долото - инструмент для долбления {инструмент} 	 type:NPN
долька - Доля плода цитрусовых растений {Доля} 	 type:NNAN 
домбра - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
домен - земельное владение феодала {владение} 	 type:ANN 
доместикация - Приручение диких животных {Приручение} 	 type:NAN
доминион - колоний Британской империи {колоний} 	 type:NAN
доминоношка - Пластинка для игры {Пластинка} 	 type:NPN
домкрат - Механизм для подъёма {Механизм} 	 type:NPN
домна - печь для выплавки {печь} 	 type:NPN
домоводство - Ведение домашнего хозяйства {Ведение} 	 type:NAN
домострой - косный семейный уклад {уклад} 	 type:AAN 
домохозяин - Домовладелец крестьянского дома {Домовладелец} 	 type:NAN
домра - трёхструнный музыкальный инструмент {инструмент} 	 type:AAN 
донесение - письменное официальное сообщение {сообщение} 	 type:AAN 
донесение - официальное сообщение каких {сообщение} 	 type:ANN 
донжуан - Искатель любовных приключений {Искатель} 	 type:NAN
дополнение - добавлением к чему {добавлением} 	 type:NPN
допризывник - человек допризывного возраста {человек} 	 type:NAN
дортуар - спальня для воспитанников {спальня} 	 type:NPN
достижение - Достигнуть результат работы {результат} 	 type:ANN 
дофамин - Продукт биологического синтеза {Продукт} 	 type:NAN
дохляк - слабосильном болезненном человеке {человеке} 	 type:AAN 
дочь - Лицо женского пола {Лицо} 	 type:NAN
дошкольник - Ребёнок дошкольного возраста {Ребёнок} 	 type:NAN
драга - сооружение для разработки {сооружение} 	 type:NPN
драже - конфет округлой формы {конфет} 	 type:NAN
драматургия - Искусство построения драматических произведений {Искусство} 	 type:NNAN 
драндулет - старом расхлябанном экипаже {экипаже} 	 type:AAN 
дранка - дощечки для обивки {дощечки} 	 type:NPN
дратва - нитка для шитья {нитка} 	 type:NPN
драцена - кустарниковое южное растение {растение} 	 type:AAN 
древесина - ткань древесных растений {ткань} 	 type:NAN
древляне - Союз восточнославянских племён {Союз} 	 type:NAN
древность - Древний отдалённые времена {времена} 	 type:AAN 
древовал - Машина для валки {Машина} 	 type:NPN
древоточцы - Семейство ночных бабочек {Семейство} 	 type:NAN
дреговичи - Союз восточнославянских племён {Союз} 	 type:NAN
дрезина - тележка для перевозки {тележка} 	 type:NPN
дрель - инструмент для сверления {инструмент} 	 type:NPN
дробилка - Машина для дробления {Машина} 	 type:NPN
дробина - шарик ружейной дроби {шарик} 	 type:NAN
дробь - шарики для стрельбы {шарики} 	 type:NPN
дровни - сани без кузова {сани} 	 type:NPN
дровяник - Сарай для дров {Сарай} 	 type:NPN
дроги - телега без кузова {телега} 	 type:NPN
дрожь - судорожное сокращение мышц {сокращение} 	 type:ANN 
дрозд - птица отряда воробьиных {птица} 	 type:NNA 
дрозд - певчая птица отряда {птица} 	 type:ANN 
дротик - четырёхгранное метательное копьё {копьё} 	 type:AAN 
дрочёна - русское блюдо род {блюдо} 	 type:ANN 
дружище - обращение к кому {обращение} 	 type:NPN
дрючок - палка жердь половой {палка} 	 type:NNA 
дрянь - негодно ненужно мусор {мусор} 	 type:AAN 
дублон - монета в Испании {монета} 	 type:NPN
дубляж - Замена речевой части {Замена} 	 type:NAN
дудук - деревянный музыкальный инструмент {инструмент} 	 type:AAN 
дуло - отверстие ствола огнестрельного оружия {отверстие} 	 type:NNAN 
дульце - Дуло духового инструмента {Дуло} 	 type:NAN
думпер - Машина для перевозки {Машина} 	 type:NPN
дунай - символ главной реки {символ} 	 type:NAN
дундук - тупом бесчувственном человеке {человеке} 	 type:AAN 
дурак - тупой человек юродивый {человек} 	 type:ANN 
дуранда - Остатки семян масличных растений {Остатки} 	 type:NNAN 
дуст - порошок для уничтожения {порошок} 	 type:NPN
дутар - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
духоборство - направлений русского сектантства {направлений} 	 type:NAN
духов - названий праздника православной церкви {названий} 	 type:NNAN 
духовенство - Служители религиозного культа {Служители} 	 type:NAN
душ - Приспособление для обливания {Приспособление} 	 type:NPN
душка - приятном привлекательном человеке {человеке} 	 type:AAN 
душник - отверстие в печи {отверстие} 	 type:NPN
дхарма - неделимые духовные частицы {частицы} 	 type:AAN 
дымарь - Прибор для окуривания {Прибор} 	 type:NPN
дымоход - Канал для отвода {Канал} 	 type:NPN
дырокол - прибор для пробивания {прибор} 	 type:NPN
дыхало - Отверстие для дыхания {Отверстие} 	 type:NPN
дьяволица - коварной сварливой женщине {женщине} 	 type:AAN 
дьявольщина - вмешательством злой силы {вмешательством} 	 type:NAN
дюжина - одинаковых однородных предметов {предметов} 	 type:AAN 
дюймовочка - невысокой изящной девушке {девушке} 	 type:AAN 
дюралюминий - прочный сплав алюминия {сплав} 	 type:ANN 
дёготь - тёмная смолистая жидкость {жидкость} 	 type:AAN 
евангелист - составителей канонических евангелий {составителей} 	 type:NAN
европеоид - Представитель европеоидной расы {Представитель} 	 type:NAN
египтолог - Специалист по египтологии {Специалист} 	 type:NPN
единица - наименьшее целое число {число} 	 type:AAN 
единонаследие - принцип наследования царской власти {принцип} 	 type:NNAN 
екклезиаст","екклесиаст - книг Ветхого Завета {книг} 	 type:NAN
ектенья - разделов православного богослужения {разделов} 	 type:NAN
елань - Поляна среди леса {Поляна} 	 type:NPN
елец - рыба семейства карповых {рыба} 	 type:NNA 
елец - промысловая небольшая рыба {рыба} 	 type:AAN 
елец - небольшая рыба семейства {рыба} 	 type:ANN 
ендова - сосуд для вина {сосуд} 	 type:NPN
епископат - система церковного управления {система} 	 type:NAN
ересь - Отклонение от догматов {Отклонение} 	 type:NPN
ермолка - шапочка без околыша {шапочка} 	 type:NPN
естество - основное свойство чего {свойство} 	 type:ANN 
ехидна - ядовитая австралийская змея {змея} 	 type:AAN 
ж - буква русского алфавита {буква} 	 type:NAN
жабо - отделка из кружев {отделка} 	 type:NPN
жаворонок - птица отряда воробьиных {птица} 	 type:NNA 
жакан - Пуля особой конструкции {Пуля} 	 type:NAN
жалейка - духовой музыкальный инструмент {инструмент} 	 type:AAN 
жаргон - Речь какой социальной {Речь} 	 type:NNA 
жатка - Машина для скашивания {Машина} 	 type:NPN
жгутиковые - Класс одноклеточных типа {Класс} 	 type:NAN
желатин - вещество животного происхождения {вещество} 	 type:NAN
железа - Орган у человека {Орган} 	 type:NPN
железнодорожник - Работник железнодорожного транспорта {Работник} 	 type:NAN
желтинка - оттенок жёлтого цвета {оттенок} 	 type:NAN
желтозём - почва субтропических лесов {почва} 	 type:NAN
желтопузик - безногая змеевидная ящерица {ящерица} 	 type:AAN 
желтоцвет - травянистых луговых растений {растений} 	 type:AAN 
женьшень - многолетнее травянистое растение {растение} 	 type:AAN 
жердинник - высокие молодые деревья {деревья} 	 type:AAN 
жерлица - снасть для ловли {снасть} 	 type:NPN
жерёбость - Состояние жеребой кобылы {Состояние} 	 type:NAN
жжёнка - Напиток из рома {Напиток} 	 type:NPN
живость - Полнота жизненных сил {Полнота} 	 type:NAN
животноводство - Отрасль сельского хозяйства {Отрасль} 	 type:NAN
жигуль - автомобиль волжского автозавода {автомобиль} 	 type:NAN
жидомасонство","жидо-масонство - заявлениям русских националистов {заявлениям} 	 type:NAN
жижа - жидкость из смеси {жидкость} 	 type:NPN
жилет - одежда без воротников {одежда} 	 type:NPN
жилище - Помещение для жилья {Помещение} 	 type:NPN
жилконтора - наименование предприятия коммунальной службы {наименование} 	 type:NNAN 
житие - Жизнеописание какого святого подвижника {Жизнеописание} 	 type:NNAN 
житница - Помещение для хранения {Помещение} 	 type:NPN
житняк - многолетний кормовой злак {злак} 	 type:AAN 
жлоб - грубом невоспитанном мужчине {мужчине} 	 type:AAN 
жмыхи - Остатки семян масличных растений {Остатки} 	 type:NNAN 
жом - Пресс для выжимания {Пресс} 	 type:NPN
журавль - птица отряда голенастых {птица} 	 type:NNA 
журавль - перелётная птица отряда {птица} 	 type:ANN 
жёлоб - Приспособление продолговатой формы {Приспособление} 	 type:NAN
жёлчь - тёмно-коричневая горькая жидкость {жидкость} 	 type:AAN 
жёрдочка - Жердь для сиденья {Жердь} 	 type:NPN
жёрнов - круг для размола {круг} 	 type:NPN
забастовка - массовое прекращение работы {прекращение} 	 type:ANN 
забегаловка - закусочная с продажей {закусочная} 	 type:NPN
заблуждение - Заблуждаться ошибочное мнение {мнение} 	 type:AAN 
забота - мысль о чём {мысль} 	 type:NPN
заварка - Количество сухого чая {Количество} 	 type:NAN
завирушка - птица отряда воробьиных {птица} 	 type:NNA 
завирушка - певчая птица отряда {птица} 	 type:ANN 
завитушка - крутой завиток волос {завиток} 	 type:ANN 
завком - комитет профсоюзной организации {комитет} 	 type:NAN
завод - предприятие для разведения {предприятие} 	 type:NPN
завод - крупное промысловое предприятие {предприятие} 	 type:AAN 
завсегдатай - постоянный посетитель чего {посетитель} 	 type:ANN 
завтрак - Время утреннего принятия {Время} 	 type:NAN
загадка - иносказательное описание какого {описание} 	 type:ANN 
загар - смуглый цвет кожи {цвет} 	 type:ANN 
загашник - место для хранения {место} 	 type:NPN
заглушка - Приспособление для закрывания {Приспособление} 	 type:NPN
загон - место для скота {место} 	 type:NPN
загс - Орган исполнительной власти {Орган} 	 type:NAN
загубник - деталь шланга дыхательного аппарата {деталь} 	 type:NNAN 
загуститель - вещество для сгущения {вещество} 	 type:NPN
задержка - Задержать нарушение деятельности {нарушение} 	 type:ANN 
заднежаберные - Моллюски класса брюхоногих {Моллюски} 	 type:NNA 
задымление - Образование дымовой завесы {Образование} 	 type:NAN
заездка - Приучение молодой лошади {Приучение} 	 type:NAN
зажигалка - Прибор для зажигания {Прибор} 	 type:NPN
зажигание - Приспособление для воспламенения {Приспособление} 	 type:NPN
зажим - Приспособление для зажимания {Приспособление} 	 type:NPN
зазрение - стеснения без стыда {стеснения} 	 type:NPN
заимка - Занятие свободного участка {Занятие} 	 type:NAN
закидушка - удочка без удилища {удочка} 	 type:NPN
закись - степень окисления химического элемента {степень} 	 type:NNAN 
закол - Приспособление для ловли {Приспособление} 	 type:NPN
закомара - завершение наружной части {завершение} 	 type:NAN
законовед - Специалист в области {Специалист} 	 type:NPN
закорючка - крючковатый изгиб чего {изгиб} 	 type:ANN 
закоулок - узкий глухой переулок {переулок} 	 type:AAN 
закрепитель - средство для закрепления {средство} 	 type:NPN
закут","закута - Хлев для скота {Хлев} 	 type:NPN
залежь - Месторождение полезных ископаемых {Месторождение} 	 type:NAN
залив - звонкие звуки лая {звуки} 	 type:ANN 
заливное - Кушанье из мяса {Кушанье} 	 type:NPN
залом - жирная каспийская сельдь {сельдь} 	 type:AAN 
замазка - вещество для заделывания {вещество} 	 type:NPN
заминка - Задержка в связи {Задержка} 	 type:NPN
замок - Устройство для запирания {Устройство} 	 type:NPN
заморозки - утренний (ночной мороз {мороз} 	 type:AAN 
замухрышка - неряшливо одетый человек {человек} 	 type:AAN 
заноза - острый кусочек дерева {кусочек} 	 type:ANN 
занос - массы чего сыпучего {массы} 	 type:NNA 
занос - заносить массы чего {массы} 	 type:ANN 
заострение - заострять конец чего {конец} 	 type:ANN 
западничество - течение в России {течение} 	 type:NPN
западноевропейцы - Жители стран Западной Европы {Жители} 	 type:NNAN 
западня - Ловушка для зверей {Ловушка} 	 type:NPN
запальник - Устройство для воспламенения {Устройство} 	 type:NPN
запасник - Помещение для хранения {Помещение} 	 type:NPN
запашник - орудие для вспашки {орудие} 	 type:NPN
запой - время от времени {время} 	 type:NPN
заполье - участки пахотной земли {участки} 	 type:NAN
запор - Приспособление для запирания {Приспособление} 	 type:NPN
запорожец - Автомобиль запорожского завода {Автомобиль} 	 type:NAN
запретительство - Практика огульного запрещения {Практика} 	 type:NAN
запятки - Место для слуги {Место} 	 type:NPN
зарница - вспышка без грома {вспышка} 	 type:NPN
зарубежка - Курс по истории {Курс} 	 type:NPN
заряд - количество взрывчатого вещества {количество} 	 type:NAN
засов - задвижка для запирания {задвижка} 	 type:NPN
застёжка - Приспособление для застёгивания {Приспособление} 	 type:NPN
затвердение - Затвердеть уплотнение какой {уплотнение} 	 type:ANN 
затвор - Приспособление для закрывания {Приспособление} 	 type:NPN
затворничество - замкнутый образ жизни {образ} 	 type:ANN 
затмение","затменье - затемнение небесного светила {затемнение} 	 type:NAN
затор - Состав для брожения {Состав} 	 type:NPN
затяжка - Вдох табачного дыма {Вдох} 	 type:NAN
затёк - След от чего {След} 	 type:NPN
заусеница - кожица у основания {кожица} 	 type:NPN
заушательство - грубая оскорбительная критика {критика} 	 type:AAN 
заушники - Дужки у оправы {Дужки} 	 type:NPN
зацепление - Приспособление для захватывания {Приспособление} 	 type:NPN
защепка - Приспособление для зажима {Приспособление} 	 type:NPN
звездолёт - аппарат для полётов {аппарат} 	 type:NPN
звероводство - разведение пушных зверей {разведение} 	 type:NAN
зверолов - охотник на зверя {охотник} 	 type:NPN
звероловство - Охота на зверей {Охота} 	 type:NPN
звонарь - Служитель в церкви {Служитель} 	 type:NPN
звукооператор - Специалист по звукозаписи {Специалист} 	 type:NPN
звукоряд - звуков разной высоты {звуков} 	 type:NAN
звукосниматель - Устройство для передачи {Устройство} 	 type:NPN
звукоулавливатель - Прибор для улавливания {Прибор} 	 type:NPN
звукоусиление - Совокупность технических приёмов {Совокупность} 	 type:NAN
звукоусилитель - Прибор для усиления {Прибор} 	 type:NPN
звёздообразование - Появление новых звёзд {Появление} 	 type:NAN
здоровила - здоровый сильный человек {человек} 	 type:AAN 
здравница - Учреждение для лечения {Учреждение} 	 type:NPN
здравотдел - отдел исполнительного комитета {отдел} 	 type:NAN
зев - Вход из полости {Вход} 	 type:NPN
зевок - глубокое дыхательное движение {движение} 	 type:AAN 
зелёнка - раствор бриллиантовой зелени {раствор} 	 type:NAN
землеведение - Раздел физической географии {Раздел} 	 type:NAN
землеустройство - Совокупность государственных мероприятий {Совокупность} 	 type:NAN
землечерпалка - машина для углубления {машина} 	 type:NPN
земля - планета Солнечной системы {планета} 	 type:NAN
земство - орган местного самоуправления {орган} 	 type:NAN
зензубель - рубанка для выемки {рубанка} 	 type:NPN
зенит - точка небесной сферы {точка} 	 type:NAN
зенитчик - Военнослужащий зенитного подразделения {Военнослужащий} 	 type:NAN
зенкер - инструмент для обработки {инструмент} 	 type:NPN
зенковка - инструмент для обработки {инструмент} 	 type:NPN
зерновоз - Автомобиль для перевозки {Автомобиль} 	 type:NPN
зернодробилка - Машина для дробления {Машина} 	 type:NPN
зерноочистка - Отделение от зерна {Отделение} 	 type:NPN
зерноплющилка - Машина для плющения {Машина} 	 type:NPN
зернопогрузчик - Машина для погрузки {Машина} 	 type:NPN
зернопульт - Машина для очистки {Машина} 	 type:NPN
зерносушилка - помещение для сушки {помещение} 	 type:NPN
зерноувлажнитель - Машина для увлажнения {Машина} 	 type:NPN
зерноуловитель - Приспособление у уборочных {Приспособление} 	 type:NPN
зернохранилище - Помещение для хранения {Помещение} 	 type:NPN
зернь - игра в кости {игра} 	 type:NPN
зефир - лёгкой фруктовой пастилы {пастилы} 	 type:AAN 
зигзаг - линия о чём {линия} 	 type:NPN
зима - холодное время года {время} 	 type:ANN 
зимовник - помещение для животных {помещение} 	 type:NPN
зипун - верхняя крестьянская одежда {одежда} 	 type:AAN 
златка - Жук яркой окраски {Жук} 	 type:NAN
зло - дурное плохое Беда {Беда} 	 type:AAN 
змеепитомник - Питомник для разведения {Питомник} 	 type:NPN
знаменатель - Делитель в дроби {Делитель} 	 type:NPN
знать - слой привилегированного класса {слой} 	 type:NAN
зола - Остаток от сжигания {Остаток} 	 type:NPN
золотко - обращение к кому {обращение} 	 type:NPN
золотопогонник - офицере царской армии {офицере} 	 type:NAN
золотопромышленник - Владелец золотых приисков {Владелец} 	 type:NAN
золоуловитель - Приспособление для улавливания {Приспособление} 	 type:NPN
зоогеограф - Специалист по зоогеографии {Специалист} 	 type:NPN
зоолог - Специалист по зоологии {Специалист} 	 type:NPN
зоология - Наука о животных {Наука} 	 type:NPN
зоопланктон - Совокупность мелких животных {Совокупность} 	 type:NAN
зубатка - промысловая рыба отряда {рыба} 	 type:ANN 
зубоврачевание - Лечение зубных болезней {Лечение} 	 type:NAN
зубр - горбатый лесной бык {бык} 	 type:AAN 
зудила - докучливый человек зуда {человек} 	 type:ANN 
зулу - народностей Южно-Африканской Республики {народностей} 	 type:NAN
зурна - деревянный музыкальный инструмент {инструмент} 	 type:AAN 
зыбь - колебание водной поверхности {колебание} 	 type:NAN
и - буква русского алфавита {буква} 	 type:NAN
ибис - Птица отряда голенастых {Птица} 	 type:NNA 
иван-чай - многолетнее травянистое растение {растение} 	 type:AAN 
иволга - птица отряда воробьиных {птица} 	 type:NNA 
иволга - певчая птица отряда {птица} 	 type:ANN 
иглодержатель - Приспособление для захвата {Приспособление} 	 type:NPN
игротека - Собрание детских игр {Собрание} 	 type:NAN
идеалист - Последователь идеалистической философии {Последователь} 	 type:NAN
идеография - Письмо при помощи {Письмо} 	 type:NPN
идефикс - Одержимость человека навязчивой {Одержимость} 	 type:NNA 
идиосинкразия - болезненная чувствительность организма {чувствительность} 	 type:ANN 
идиотия - врождённого психического недоразвития {недоразвития} 	 type:AAN 
иезуит - Член монашеского ордена {Член} 	 type:NAN
иерархия - расположение служебных званий {расположение} 	 type:NAN
иждивенство - Пребывание на чьём {Пребывание} 	 type:NPN
избоина - Остатки семян масличных растений {Остатки} 	 type:NNAN 
избыток - потребность в чём {потребность} 	 type:NPN
известь - термин для обозначения {термин} 	 type:NPN
извод - Редакция рукописного текста {Редакция} 	 type:NAN
извозчик - Кучер наёмного экипажа {Кучер} 	 type:NAN
изголовье - место на постели {место} 	 type:NPN
изгородь - Ограда из жердей {Ограда} 	 type:NPN
издевательство - Издеваться оскорбительная насмешка {насмешка} 	 type:AAN 
излишек - положенного необходимого избыток {избыток} 	 type:AAN 
изложение - Изложить пересказ чего {пересказ} 	 type:ANN 
излучатель - Передатчик световой тепловой {Передатчик} 	 type:NAN
измельчитель - Устройство для измельчения {Устройство} 	 type:NPN
измождение - Состояние крайней усталости {Состояние} 	 type:NAN
изнеможение - Состояние крайнего утомления {Состояние} 	 type:NAN
изнурение - Состояние крайнего утомления {Состояние} 	 type:NAN
изоляционизм - течение в США {течение} 	 type:NPN
изоморфизм - Свойство веществ аналогичных {Свойство} 	 type:NNA 
изразец - плитка для облицовки {плитка} 	 type:NPN
израильтяне - древнееврейских племён Израиля {племён} 	 type:ANN 
изыск - внешнее претенциозное новшество {новшество} 	 type:AAN 
изыскание - Изыскать исследования исследования {исследования} 	 type:ANN 
изящество - строгая художественная соразмерность {соразмерность} 	 type:AAN 
иконоскоп - трубка для передачи {трубка} 	 type:NPN
икра - Скопление зерновидных яичек {Скопление} 	 type:NAN
икры - мышцы на голени {мышцы} 	 type:NPN
икряник - Рабочий рыбных промыслов {Рабочий} 	 type:NAN
имбирь - травянистое растение корневища {растение} 	 type:ANN 
имеретинское - сухого виноградного вина {вина} 	 type:AAN 
имитация - Подделка подо что {Подделка} 	 type:NPN
иммельман - фигур высшего пилотажа {фигур} 	 type:NAN
иммунодефицит - дефицит иммунной системы {дефицит} 	 type:NAN
иммунотерапия - Лечение инфекционных больных {Лечение} 	 type:NAN
империализм - последняя стадия капитализма {стадия} 	 type:ANN 
импорт - Ввоз в какую {Ввоз} 	 type:NPN
инвектива - выступление против кого {выступление} 	 type:NPN
инвенция - пьеса полифонического склада {пьеса} 	 type:NAN
инверсия - Изменение нормального положения {Изменение} 	 type:NAN
инвертор - Устройство для преобразования {Устройство} 	 type:NPN
инвеститура - Акт передачи земельного владения {Акт} 	 type:NNAN 
ингалятор - Аппарат для ингаляции {Аппарат} 	 type:NPN
индейка - птица отряда куриных {птица} 	 type:NNA 
индейка - домашняя птица отряда {птица} 	 type:ANN 
индивидуализм - принцип буржуазной идеологии {принцип} 	 type:NAN
индифферентизм - отношение к чему {отношение} 	 type:NPN
индоевропеистика - Раздел сравнительно-исторического языкознания {Раздел} 	 type:NAN
индолог - Специалист по индологии {Специалист} 	 type:NPN
индуизм - религий в Индии {религий} 	 type:NPN
индюшатник - Помещение для содержания {Помещение} 	 type:NPN
инжектор - насос для сжатия {насос} 	 type:NPN
инки - племя языковой группы {племя} 	 type:NAN
инкрустатор - Специалист по инкрустации {Специалист} 	 type:NPN
иноверие - сравнению с чьей {сравнению} 	 type:NPN
иномарка - Автомобиль иностранного производства {Автомобиль} 	 type:NAN
инородец - представителя нерусской народности {представителя} 	 type:NAN
инсоляция - Облучение земной поверхности {Облучение} 	 type:NAN
инстинкт - способность животных организмов {способность} 	 type:NAN
инструментальная - Кладовая для хранения {Кладовая} 	 type:NPN
инструментовка - Изложение музыкального произведения {Изложение} 	 type:NAN
инсулин - гормон поджелудочной железы {гормон} 	 type:NAN
инсульт - нарушение мозгового кровообращения {нарушение} 	 type:NAN
интегратор - устройство для определения {устройство} 	 type:NPN
интермеццо - произведение свободной формы {произведение} 	 type:NAN
интернатура - стажировки молодых врачей {стажировки} 	 type:NAN
интерполятор - Устройство для вычисления {Устройство} 	 type:NPN
интерсексуальность - Наличие у человека {Наличие} 	 type:NPN
интерьер - внутреннее пространство здания {пространство} 	 type:ANN 
интрига - действия неблаговидного характера {действия} 	 type:NAN
инфлюэнца - воспаление дыхательных путей {воспаление} 	 type:NAN
инфляция - Обесценение бумажных денег {Обесценение} 	 type:NAN
информатизация - Внедрение вычислительной техники {Внедрение} 	 type:NAN
инфузория - простейшее одноклеточное животное {животное} 	 type:AAN 
инъекция - Введение лекарственной жидкости {Введение} 	 type:NAN
ипостась - термин для обозначения {термин} 	 type:NPN
иприт - вещество кожно действия {вещество} 	 type:NAN
ирокезы - Группа индейских племён {Группа} 	 type:NAN
иррационализм - течение в философии {течение} 	 type:NPN
ирригатор - Специалист по ирригации {Специалист} 	 type:NPN
иск - Средство судебной защиты {Средство} 	 type:NAN
искрогаситель - Устройство для гашения {Устройство} 	 type:NPN
искроуловитель - Приспособление для задерживания {Приспособление} 	 type:NPN
испанист - Специалист в области {Специалист} 	 type:NPN
исповедальня - помещение для исповеди {помещение} 	 type:NPN
исправник - начальник уездной полиции {начальник} 	 type:NAN
истома - Чувство приятной расслабленности {Чувство} 	 type:NAN
историк - Специалист по истории {Специалист} 	 type:NPN
историограф - Специалист по историографии {Специалист} 	 type:NPN
источник - выход подземных вод {выход} 	 type:NAN
ихтиозавр - пресмыкающегося огромных размеров {пресмыкающегося} 	 type:NAN
ихтиолог - Специалист по ихтиологии {Специалист} 	 type:NPN
ишиас - Заболевание седалищного нерва {Заболевание} 	 type:NAN
июль - месяц календарного года {месяц} 	 type:NAN
июнь - месяц календарного года {месяц} 	 type:NAN
й - буква русского алфавита {буква} 	 type:NAN
йети - мифического человекоподобного существа {существа} 	 type:AAN 
йота - Буква греческого алфавита {Буква} 	 type:NAN
к - буква русского алфавита {буква} 	 type:NAN
кабак - заведение низшего разряда {заведение} 	 type:NAN
кабаниха - Самка кабана властной {Самка} 	 type:NNA 
кабель - герметическую защитную оболочку {оболочку} 	 type:AAN 
кабина - помещение специального назначения {помещение} 	 type:NAN
кабошон - шлифовка драгоценных камней {шлифовка} 	 type:NAN
кавказоведение - Совокупность научных дисциплин {Совокупность} 	 type:NAN
кавыка - надстрочного знака краткости {знака} 	 type:ANN 
кагатировать - корнеплоды в кучи {корнеплоды} 	 type:NPN
кагор - красного десертного вина {вина} 	 type:AAN 
кадет - Член конституционно партии {Член} 	 type:NAN
кадет - воспитанник кадетского корпуса {воспитанник} 	 type:NAN
казарма - здание для размещения {здание} 	 type:NPN
казнь - мера судебного наказания {мера} 	 type:NAN
казуистика - Применение общих статей {Применение} 	 type:NAN
кайло","кайла - инструмент для откалывания {инструмент} 	 type:NPN
кайф - Состояние полного удовольствия {Состояние} 	 type:NAN
какао - дерево из семян {дерево} 	 type:NPN
кактусовые - Семейство многолетних растений {Семейство} 	 type:NAN
каланча - башня пожарной части {башня} 	 type:NAN
калибратор - Прибор для калибрования {Прибор} 	 type:NPN
калориметр - Прибор для измерения {Прибор} 	 type:NPN
калорифер - Прибор для нагревания {Прибор} 	 type:NPN
калькулятор - Специалист по калькуляции {Специалист} 	 type:NPN
калькуляция - Вычисление себестоимости покупной {Вычисление} 	 type:NNA 
кальмар - съедобный головоногий моллюск {моллюск} 	 type:AAN 
кальян - Прибор для курения {Прибор} 	 type:NPN
каляки-маляки - небрежном грязном письме {письме} 	 type:AAN 
камаринская","камаринский - русской народной плясовой {плясовой} 	 type:AAN 
камаринская","камаринский - народной плясовой песни {плясовой} 	 type:ANN 
камас","камус - Шкура с голени {Шкура} 	 type:NPN
камвольщик - Работник камвольного предприятия {Работник} 	 type:NAN
камень - нековкая горная порода {порода} 	 type:AAN 
камера - Помещение специального назначения {Помещение} 	 type:NAN
камка - шёлковая цветная ткань {ткань} 	 type:AAN 
камлот - плотная шерстяная ткань {ткань} 	 type:AAN 
камнедробилка - Машина для дробления {Машина} 	 type:NPN
камчадалы - коренного населения Камчатки {населения} 	 type:ANN 
канавокопатель - Машина для прокладки {Машина} 	 type:NPN
канализация - Система труб подземных каналов {Система} 	 type:NNAN 
канат - верёвка из волокон {верёвка} 	 type:NPN
канаус - ткань полотняного переплетения {ткань} 	 type:NAN
канва - ткань для вышивания {ткань} 	 type:NPN
канифас - полосатой бумажной ткани {ткани} 	 type:AAN 
канкан - танец быстрого темпа {танец} 	 type:NAN
канна - травянистых тропических растений {растений} 	 type:AAN 
кантеле - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
кантователь - Механизм для кантовки {Механизм} 	 type:NPN
канцона - стихотворение особой формы {стихотворение} 	 type:NAN
капитализация - Превращение прибавочной стоимости {Превращение} 	 type:NAN
капиталист - Представитель господствующего класса {Представитель} 	 type:NAN
капитул - коллегия духовных лиц {коллегия} 	 type:NAN
капище - сооружение у славян {сооружение} 	 type:NPN
капкан - Приспособление для ловли {Приспособление} 	 type:NPN
капонир - сооружение для ведения {сооружение} 	 type:NPN
капор - женский головной убор {убор} 	 type:AAN 
капот - платье свободного покроя {платье} 	 type:NAN
каприччио","каприччо - произведений свободной формы {произведений} 	 type:NAN
капрон - искусственного полиамидного волокна {волокна} 	 type:AAN 
каптаж - Вскрытие подземного источника {Вскрытие} 	 type:NAN
каптенармус - лицо в армии {лицо} 	 type:NPN
капэзэ - Камера предварительного заключения {Камера} 	 type:NAN
карабах - Порода верховой лошади {Порода} 	 type:NAN
караван - Группа вьючных животных {Группа} 	 type:NAN
каракулеводство - Разведение каракульских овец {Разведение} 	 type:NAN
каракульча - мех из шкурок {мех} 	 type:NPN
карамболь - Удар в бильярдной {Удар} 	 type:NPN
карандашница - прибор для карандашей {прибор} 	 type:NPN
