аа - отправление естественных потребностей {отправление} 	 type:NAN
диатермия - прогревание больной части {прогревание} 	 type:NAN
диван - мебели для сидения {мебели} 	 type:NPN
дизель - Двигатель внутреннего сгорания {Двигатель} 	 type:NAN
дикобраз - Животное из отряда {Животное} 	 type:NPN
диктаторство - Пребывание у власти {Пребывание} 	 type:NPN
диктофон - фонограф для записи {фонограф} 	 type:NPN
дилетантизм - отношение к чему {отношение} 	 type:NPN
дилижанс - карета общего пользования {карета} 	 type:NAN
динамометр - Прибор для измерения {Прибор} 	 type:NPN
динар - (сербская монетная единица {единица} 	 type:AAN 
динарий - римская серебряная монета {монета} 	 type:AAN 
динозавр - пресмыкающееся огромных размеров {пресмыкающееся} 	 type:NAN
диоптр - приспособление для визирования {приспособление} 	 type:NPN
дипломант - технических учебных заведениях {заведениях} 	 type:AAN 
дипломат - пальто особого покроя {пальто} 	 type:NAN
дискуссия - Обсуждение какого спорного вопроса {Обсуждение} 	 type:NNAN 
диспепсия - Нарушение нормальной деятельности {Нарушение} 	 type:NAN
дисперсия - Расхождение световых лучей {Расхождение} 	 type:NAN
диссонанс - сочетание музыкальных звуков {сочетание} 	 type:NAN
дистиллятор - Прибор для дистилляции {Прибор} 	 type:NPN
дифракция - Отклонение светового луча {Отклонение} 	 type:NAN
диффамация","дифамация - Опубликование в печати {Опубликование} 	 type:NPN
дифференциал","диференциал - Предел бесконечно приращения {Предел} 	 type:NAN
длительность - Протяженность во времени {Протяженность} 	 type:NPN
дневник - Записки личного характера {Записки} 	 type:NAN
до - нот музыкальной гаммы {нот} 	 type:NAN
добро - начало в нравственности {начало} 	 type:NPN
добродетель - нравственное качество человека {качество} 	 type:ANN 
доверие - Убежденность в чьей {Убежденность} 	 type:NPN
довольствие - вещевое снабжение (офиц {снабжение} 	 type:ANN 
дог - Порода крупных собак {Порода} 	 type:NAN
догма - Система основных положений {Система} 	 type:NAN
дождемер - Прибор для измерения {Прибор} 	 type:NPN
дозировка - Разделение на дозы {Разделение} 	 type:NPN
дозор - Обход для осмотра {Обход} 	 type:NPN
доильник","доильница - Сосуд в к {Сосуд} 	 type:NPN
док - сооружение в к {сооружение} 	 type:NPN
долина - Пространство вдоль реки {Пространство} 	 type:NPN
доломан - России до революции {России} 	 type:NPN
долото - инструмент для выдалбливания {инструмент} 	 type:NPN
дольмен - Сооружение доисторической эпохи {Сооружение} 	 type:NAN
домна - печь для выплавки {печь} 	 type:NPN
домоводство - Ведение домашнего хозяйства {Ведение} 	 type:NAN
домохозяин - Глава крестьянского хозяйства {Глава} 	 type:NAN
домра - струнный щипковый инструмент {инструмент} 	 type:AAN 
донник - растение из семейства {растение} 	 type:NPN
донос - Орудие борьбы буржуазно реакции {Орудие} 	 type:NNAN 
доппелькюммель","допелькюмель - сладкой анисовой водки {водки} 	 type:AAN 
допризывник - Лицо допризывного возраста {Лицо} 	 type:NAN
дортуар - спальня для учащихся {спальня} 	 type:NPN
доступ - Проход к чему {Проход} 	 type:NPN
доха - Шуба из шкур {Шуба} 	 type:NPN
доцент - звание преподавателя высшего {звание} 	 type:NNA 
дочь - Лицо женского пола {Лицо} 	 type:NAN
дошкольник - Ребенок дошкольного возраста {Ребенок} 	 type:NAN
дощаник - судно небольшого размера {судно} 	 type:NAN
драбант - Солдат личной охраны {Солдат} 	 type:NAN
драгоценность - изделие большой ценности {изделие} 	 type:NAN
дратва - нитка для шитья {нитка} 	 type:NPN
драчка - Гребень для расчески {Гребень} 	 type:NPN
древонасаждение - Посадка молодых деревьев {Посадка} 	 type:NAN
дреднот","дредноут - Броненосец большого размера {Броненосец} 	 type:NAN
дрезина - тележка для езды {тележка} 	 type:NPN
дрек - якорь для шлюпки {якорь} 	 type:NPN
дрель - сверло для отверстий {сверло} 	 type:NPN
дрема - трава из семейства {трава} 	 type:NPN
дробина - шарик ружейной дроби {шарик} 	 type:NAN
дробовик - ружье для стрельбы {ружье} 	 type:NPN
дровни - сани без кузова {сани} 	 type:NPN
дровянка - пилы для дров {пилы} 	 type:NPN
дрожь - судорожное сокращение мышц {сокращение} 	 type:ANN 
дрозд - птица из семейства {птица} 	 type:NPN
дрофа","дрохва - птица из отряда {птица} 	 type:NPN
дублон - монета во Франции {монета} 	 type:NPN
дукат - золотая венецианская монета {монета} 	 type:AAN 
дуло - отверстие ствола огнестрельного оружия {отверстие} 	 type:NNAN 
дупель - птица из породы {птица} 	 type:NPN
духан - ресторан с продажей {ресторан} 	 type:NPN
духи - Раствор ароматических эссенций {Раствор} 	 type:NAN
духовенство - Служители религиозного культа {Служители} 	 type:NAN
духовка - коробка для приготовления {коробка} 	 type:NPN
душ - Прибор для обливания {Прибор} 	 type:NPN
душегрейка - кофта без рукавов {кофта} 	 type:NPN
дыня - сладкий плод растения {плод} 	 type:ANN 
дырокол - Машинка для пробивания {Машинка} 	 type:NPN
дюралюминий - прочный сплав (алюминия {сплав} 	 type:ANN 
дюшес - крупной сочной груши {груши} 	 type:AAN 
дягиль - высокое зонтичное растение {растение} 	 type:AAN 
дёрть - зерно для корма {зерно} 	 type:NPN
евангелист - Автор евангелия евангелической общины {Автор} 	 type:NNAN 
евреи - народностей семитического племени {народностей} 	 type:NAN
егермейстер - высших придворных чинов {придворных} 	 type:ANN 
египтология - Изучение древнего Египта {Изучение} 	 type:NAN
егоза - подвижной беспокойный человек {человек} 	 type:AAN 
единорог - животное из отряда {животное} 	 type:NPN
ежевика - ягода черного цвета {ягода} 	 type:NAN
елеосвящение - наз таинств православной церкви {наз} 	 type:NNAN 
елистратишка - обозначение коллежского регистратора {обозначение} 	 type:NAN
ель - дерево конусообразной формы {дерево} 	 type:NAN
ель - вечнозеленое хвойное дерево {дерево} 	 type:AAN 
епархиалка - Воспитанница епархиального училища {Воспитанница} 	 type:NAN
ересиарх - Глава еретической секты {Глава} 	 type:NAN
ерзя - групп на к {групп} 	 type:NPN
ессентуки - минеральная лечебная вода {вода} 	 type:AAN 
естествоведение - Предмет школьного преподавания {Предмет} 	 type:NAN
ефрейтор - Звание нижнего чина {Звание} 	 type:NAN
ехидна - австралийское однопроходное животное {животное} 	 type:AAN 
жабо - обшивка из кружев {обшивка} 	 type:NPN
жабры - органы дыхания водных животных {органы} 	 type:NNAN 
жаворонок - птица из семейства {птица} 	 type:NPN
жакерия - восстание во Франции {восстание} 	 type:NPN
жалейка - крестьянский музыкальный инструмент {инструмент} 	 type:AAN 
жар-птица - русских народных сказках {сказках} 	 type:AAN 
желатин - клей без вкуса {клей} 	 type:NPN
железобетон - стойкий строительный материал {материал} 	 type:AAN 
желтинка - пятнышки на чем {пятнышки} 	 type:NPN
желтофиоль - растение из семейства {растение} 	 type:NPN
желтоцвет - различных луговых растений {растений} 	 type:AAN 
желудок - части брюшной полости {части} 	 type:NAN
жемчужница - Моллюск тропических морей {Моллюск} 	 type:NAN
женделегатка - Член делегатского собрания {Член} 	 type:NAN
жерех - речная хищная рыба {рыба} 	 type:AAN 
жерлица - снасть для ловли {снасть} 	 type:NPN
живорождение - Рождение живых детенышей {Рождение} 	 type:NAN
живоцерковник - Сторонник церковной организации {Сторонник} 	 type:NAN
жидовствующие - Последователи рационалистической секты {Последователи} 	 type:NAN
жизнедеятельность - Совокупность жизненных отправлений {Совокупность} 	 type:NAN
жизнеощущение - восприятие окружающей действительности {восприятие} 	 type:NAN
жилет - бритва особого устройства {бритва} 	 type:NAN
жилет - одежда без рукавов {одежда} 	 type:NPN
жилище - Помещение для жилья {Помещение} 	 type:NPN
жировик - подкожная незлокачественная опухоль {опухоль} 	 type:AAN 
жировик - незлокачественная опухоль (обл {опухоль} 	 type:ANN 
жироприказ - системе безналичного расчета {системе} 	 type:NAN
житие - Повествование о жизни {Повествование} 	 type:NPN
жмыхи - Остатки семян масличных растений {Остатки} 	 type:NNAN 
жмыходробилка - Машина для измельчения {Машина} 	 type:NPN
жорнов - круг для перетирания {круг} 	 type:NPN
жужелица - насекомое из семейства {насекомое} 	 type:NPN
жужжальца","жужжальцы - крылышки у мух {крылышки} 	 type:NPN
жупан - Начальник административного округа {Начальник} 	 type:NAN
журавль - болотная перелетная птица {птица} 	 type:AAN 
журфикс - Вечер для приема {Вечер} 	 type:NPN
жуть - Чувство тоскливо страха {Чувство} 	 type:NAN
жучка - кличка дворовой собаки {кличка} 	 type:NAN
жёлчь - жидкость горького вкуса {жидкость} 	 type:NAN
заболонь - наружный слой древесины {слой} 	 type:ANN 
завеска - шарнир при помощи {шарнир} 	 type:NPN
завещатель - Лицо от имени {Лицо} 	 type:NPN
завирушка - птичка из семейства {птичка} 	 type:NPN
завод - предприятие для разведения {предприятие} 	 type:NPN
завозня - небольшого речного судна {судна} 	 type:AAN 
завсегдатай - постоянный обычный посетитель {посетитель} 	 type:AAN 
загар - темный цвет кожи {цвет} 	 type:ANN 
заглавие - книги какого литературного {книги} 	 type:NNA 
загуститель - вещество для сгущения {вещество} 	 type:NPN
заездка - Приучение молодой лошади {Приучение} 	 type:NAN
зажигалка - прибор для закуривания {прибор} 	 type:NPN
заимка - Занятие кем пустопорожнего {Занятие} 	 type:NNA 
заклад - Отдача какого ценного предмета {Отдача} 	 type:NNAN 
закоулок - темный глухой переулок {переулок} 	 type:AAN 
залом - Рыба из породы {Рыба} 	 type:NPN
заметка - сообщение о чем {сообщение} 	 type:NPN
замешательство - нарушение порядка правильного хода {нарушение} 	 type:NNAN 
замешательство - кратковременное нарушение порядка {нарушение} 	 type:ANN 
замок - Приспособление для запирания {Приспособление} 	 type:NPN
заноза - острый маленький кусочек {кусочек} 	 type:AAN 
заноза - маленький кусочек дерева {кусочек} 	 type:ANN 
западня - Приспособление для ловли {Приспособление} 	 type:NPN
запал - Приспособление для воспламенения {Приспособление} 	 type:NPN
запарник - Прибор посредством к {Прибор} 	 type:NPN
запас - будущего пользования какое {пользования} 	 type:ANN 
запашок - дурной гнилой запах {запах} 	 type:AAN 
запев - Начало хоровой песни {Начало} 	 type:NAN
запеканка - Наливка из ягод {Наливка} 	 type:NPN
запрос - Требование официального разъяснения {Требование} 	 type:NAN
запятки - Место для слуги {Место} 	 type:NPN
заряд - Снаряд огнестрельного оружия {Снаряд} 	 type:NAN
засека - Место после срубки {Место} 	 type:NPN
застенок - Место пыток тюремных истязаний {Место} 	 type:NNAN 
застёжка - Приспособление для застегивания {Приспособление} 	 type:NPN
затин - Место в тени {Место} 	 type:NPN
затмение - затемнение небесного тела {затемнение} 	 type:NAN
заусеница - кожица у основания {кожица} 	 type:NPN
заяц - Млекопитающее из отряда {Млекопитающее} 	 type:NPN
звено - Кольцо в цепи {Кольцо} 	 type:NPN
зверобой - Охотник на зверей {Охотник} 	 type:NPN
звероводство - Разведение пушных зверей {Разведение} 	 type:NAN
звонарь - служитель на обязанности {служитель} 	 type:NPN
звонница - Колокольня особого устройства {Колокольня} 	 type:NAN
звук - колебательное движение частиц {движение} 	 type:ANN 
звукоподражание - Выражение какого природного звучания {Выражение} 	 type:NNAN 
звукоряд - Ряд музыкальных звуков {Ряд} 	 type:NAN
звукоуловитель - Прибор для улавливания {Прибор} 	 type:NPN
здравоохранение - Система правительственных мер {Система} 	 type:NAN
зебу - бык особой породы {бык} 	 type:NAN
зелёненькая - билет трехрублевого достоинства {билет} 	 type:NAN
землеведение - Совокупность географических дисциплин {Совокупность} 	 type:NAN
землетрясение - колебание земной коры {колебание} 	 type:NAN
земляника - растение из семейства {растение} 	 type:NPN
земство - Система учреждений местного самоуправления {Система} 	 type:NNAN 
зенит - точка небесной сферы {точка} 	 type:NAN
зеркало - металлическая особым способом {способом} 	 type:AAN 
зернодробилка - Машина для дробления {Машина} 	 type:NPN
зерносушилка - Машина для сушки {Машина} 	 type:NPN
зернохранилище - Помещение для хранения {Помещение} 	 type:NPN
зернь - Игра в кости {Игра} 	 type:NPN
зима - холодное время года {время} 	 type:ANN 
зло - греховное вредное противоп {противоп} 	 type:AAN 
злоба - Чувство гневного раздражения {Чувство} 	 type:NAN
злопыхательство - отношение к кому {отношение} 	 type:NPN
злопыхательство - раздраженно враждебное отношение {отношение} 	 type:AAN 
знаменатель - Делитель в дроби {Делитель} 	 type:NPN
знатность - Принадлежность к знати {Принадлежность} 	 type:NPN
золотник - механизм для распределения {механизм} 	 type:NPN
золото - металлов желтого цвета {металлов} 	 type:NAN
золотопромышленность - Отрасль горной промышленности {Отрасль} 	 type:NAN
золотуха - расстройство питания детского организма {расстройство} 	 type:NNAN 
зонд - Прибор для определения {Прибор} 	 type:NPN
зонтик - прибор из палки {прибор} 	 type:NPN
зразы - Кушанье из мяса {Кушанье} 	 type:NPN
зуав - Солдат алжирских полков {Солдат} 	 type:NAN
зубоврачевание - Лечение зубных болезней {Лечение} 	 type:NAN
зуд - местное расстройство чувствительности {расстройство} 	 type:ANN 
зуда - надоедливый привязчивый человек {человек} 	 type:AAN 
зулус - Туземец юго-восточной Африки {Туземец} 	 type:NAN
зурна - духовой музыкальный инструмент {инструмент} 	 type:AAN 
зуёк - птиц из семейства {птиц} 	 type:NPN
зыбь - волнение без ветра {волнение} 	 type:NPN
зяблик - птица из семейства {птица} 	 type:NPN
иваси - рыба из семейства {рыба} 	 type:NPN
игла - Инструмент для шитья {Инструмент} 	 type:NPN
иглодержатель - Прибор для захвата {Прибор} 	 type:NPN
игрок - Участник игры (спортивной {Участник} 	 type:NNA 
игуменья - Настоятельница женского монастыря {Настоятельница} 	 type:NAN
идеал - достижимая степень совершенства {степень} 	 type:ANN 
идеалист - Последователь идеалистической философии {Последователь} 	 type:NAN
идеалреализм - Направление идеалистической философии {Направление} 	 type:NAN
идеографизм - Способ письменной передачи {Способ} 	 type:NAN
идеография - Письмо при помощи {Письмо} 	 type:NPN
идо - искусственных международных языков {языков} 	 type:AAN 
иерархия - Порядок подчинения низших {Порядок} 	 type:NNA 
избоина - Остатки от семян {Остатки} 	 type:NPN
избранничество - Предназначенность к деятельности {Предназначенность} 	 type:NPN
известь - вещество белого цвета {вещество} 	 type:NAN
извод - Редакция рукописного текста {Редакция} 	 type:NAN
извозовладелец - Собственник извозопромышленного дела {Собственник} 	 type:NAN
изголовье - место на постели {место} 	 type:NPN
изгородь - Ограда из жердей {Ограда} 	 type:NPN
излишество - Превышение необходимой нормы {Превышение} 	 type:NAN
излияние - жидком вытекание откуда {вытекание} 	 type:ANN 
изморось - мелкий сетчатый дождь {дождь} 	 type:AAN 
изнанка - обратная сторона (ткани {сторона} 	 type:ANN 
изнеможение - Состояние полного бессилия {Состояние} 	 type:NAN
изувер - Человек в нетерпимости {Человек} 	 type:NPN
изумруд - камень ярко-зеленого цвета {камень} 	 type:NAN
изюм - сушеные ягоды винограда {ягоды} 	 type:ANN 
иконоборчество - Движение против почитания {Движение} 	 type:NPN
иконопись - Отрасль религиозной живописи {Отрасль} 	 type:NAN
икра - округлая мышца ноги {мышца} 	 type:ANN 
иллюстратор - Художник по иллюстрации {Художник} 	 type:NPN
имморализм - Отрицание общеобязательности нравственных норм {Отрицание} 	 type:NNAN 
иммортель - Растение у к {Растение} 	 type:NPN
импорт - Ввоз из-за границы {Ввоз} 	 type:NPN
имярек - заменой имени неизвестного лица {заменой} 	 type:NNAN 
инвектива - выступление против кого {выступление} 	 type:NPN
индианистика - Изучение индийских языков {Изучение} 	 type:NAN
индикатор - Прибор для измерения {Прибор} 	 type:NPN
индифферентизм","индиферентизм - отношение к чему {отношение} 	 type:NPN
индифферентизм","индиферентизм - индиферентное равнодушное отношение {отношение} 	 type:AAN 
индуизм - индийской религии поклонников {религии} 	 type:ANN 
индуктор - Прибор для получения {Прибор} 	 type:NPN
инжектор - Прибор для накачивания {Прибор} 	 type:NPN
инициаторство - Почин в каком {Почин} 	 type:NPN
инкубаторий - здание для инкубаторов {здание} 	 type:NPN
иностранщина - иностранное (иностранные обычаи {обычаи} 	 type:AAN 
инсоляция - Количество солнечной энергии {Количество} 	 type:NAN
инспектура - Система инспекторского надзора {Система} 	 type:NAN
инстанция - Стадия судебного процесса {Стадия} 	 type:NAN
институтка - Воспитанница женского института {Воспитанница} 	 type:NAN
инструмент - орудие для производства {орудие} 	 type:NPN
инструментовка - Приспособление музыкального произведения {Приспособление} 	 type:NAN
интеллектуализм - Направление в психологии {Направление} 	 type:NPN
интеллигенция - слой работников умственного труда {слой} 	 type:NNAN 
интендант - лицо в армии {лицо} 	 type:NPN
интернат - Общежитие для учащихся {Общежитие} 	 type:NPN
интерполяция - Вставка позднейшего происхождения {Вставка} 	 type:NAN
интерференция - Явление взаимодействия звуковых {Явление} 	 type:NNA 
инфант - Принц королевской фамилии {Принц} 	 type:NAN
инфантилизм - психическая недоразвитость организма {недоразвитость} 	 type:ANN 
иод - элемент из группы {элемент} 	 type:NPN
ипотека - Заклад недвижимого имущества {Заклад} 	 type:NAN
ирригатор - Прибор для промывания {Прибор} 	 type:NPN
ирригация - Орошение безводных земель {Орошение} 	 type:NAN
искровец - Участник революцинной организации {Участник} 	 type:NAN
испаритель - Прибор для испарения {Прибор} 	 type:NPN
испуг - волнение от чего {волнение} 	 type:NPN
исступление - Состояние крайнего возбуждения {Состояние} 	 type:NAN
источник - Струя подземной воды {Струя} 	 type:NAN
итальянщина - Присутствие в муз {Присутствие} 	 type:NPN
иудей - Лицо иудейского вероисповедания {Лицо} 	 type:NAN
ихневмон - длиннохвостое хищное животное {животное} 	 type:AAN 
ихтиол - продукт перегонки смолистых {продукт} 	 type:NNA 
ишурия - Болезнь мочевого пузыря {Болезнь} 	 type:NAN
ищейка - Собака из пород {Собака} 	 type:NPN
июль - месяц календарного года {месяц} 	 type:NAN
июнь - месяц календарного года {месяц} 	 type:NAN
й - Буква русского алфавита {Буква} 	 type:NAN
кабала - древне русском праве {праве} 	 type:AAN 
кабачок - Овощ из породы {Овощ} 	 type:NPN
каббала","кабала - средневековое мистическое учение {учение} 	 type:AAN 
каббала","кабала - мистическое учение (истор {учение} 	 type:ANN 
каббалистика","кабалистика - магические таинственные науки {науки} 	 type:AAN 
каббалистика","кабалистика - таинственные науки знания {науки} 	 type:ANN 
кабель - провод особого рода {провод} 	 type:NAN
кабестан - Механизм для передвижения {Механизм} 	 type:NPN
каботаж - судоходство прибрежного плавания {судоходство} 	 type:NAN
кагал - Собрание еврейских старшин {Собрание} 	 type:NAN
кади","кадий - судья у мусульман {судья} 	 type:NPN
кадр - состав войсковых частей {состав} 	 type:NAN
кадушка - Кадка небольшого размера {Кадка} 	 type:NAN
казан - котел для приготовления {котел} 	 type:NPN
казна - Совокупность имущественных средств {Совокупность} 	 type:NAN
казнокрадство - присвоение государственной собственности {присвоение} 	 type:NAN
казнь - мера судебной кары {мера} 	 type:NAN
казуистика - Теория абстрактно применения {Теория} 	 type:NAN
казус - запутанное необычное дело {дело} 	 type:AAN 
казёнка - лавка казенной продажи {лавка} 	 type:NAN
кайра - птица из семейства {птица} 	 type:NPN
какао - дерево из семян {дерево} 	 type:NPN
каланча - вышка пожарной части {вышка} 	 type:NAN
калильня - Помещение для закаливания {Помещение} 	 type:NPN
калина - Кустарник из семейства {Кустарник} 	 type:NPN
калориметр - Прибор для измерений {Прибор} 	 type:NPN
калорифер - Прибор для введения {Прибор} 	 type:NPN
калькограф - Резчик по меди {Резчик} 	 type:NPN
калькография - Резьба по меди {Резьба} 	 type:NPN
кальян - прибор посредством к {прибор} 	 type:NPN
камаринская - народная плясовая песня {песня} 	 type:AAN 
камедь - сок из коры {сок} 	 type:NPN
камелия - Растение из семейства {Растение} 	 type:NPN
каменоломня - Месторождение различных пород {Месторождение} 	 type:NAN
камера","камера-обскура - комната специального назначения {комната} 	 type:NAN
камергер - звание в нек {звание} 	 type:NPN
камзол - одежда без рукавов {одежда} 	 type:NPN
камилавка - убор православных священников {убор} 	 type:NAN
камлот - ткань из шерсти {ткань} 	 type:NPN
камнедробилка - Машина для дробления {Машина} 	 type:NPN
камуфляж - Способ военной маскировки {Способ} 	 type:NAN
камфора - сильным специфическим запахом {запахом} 	 type:AAN 
камыш - трава семейства ситниковых {трава} 	 type:NNA 
камыш - болотная трава семейства {трава} 	 type:ANN 
камышевка - птица из семейства {птица} 	 type:NPN
камышит - материал из камыша {материал} 	 type:NPN
канареечник - растения из семейства {растения} 	 type:NPN
канарейка - птица из семейства {птица} 	 type:NPN
канаус - ткань невысокого сорта {ткань} 	 type:NAN
канва - ткань для вышивания {ткань} 	 type:NPN
кандиль - сочных крымских яблок {яблок} 	 type:AAN 
канительщик - Рабочий канительного производства {Рабочий} 	 type:NAN
каннибализм - Людоедство у дикарей {Людоедство} 	 type:NPN
канонир - Рядовой в артиллерии {Рядовой} 	 type:NPN
канцелярист - Служащий в канцелярии {Служащий} 	 type:NPN
канцелярщина - Формализм канцелярской работы {Формализм} 	 type:NAN
капелла - Хор певчих (муз {Хор} 	 type:NAN
капельмейстер - Руководитель вокальной капеллы {Руководитель} 	 type:NAN
капитализация - Превращение бездоходных ценностей {Превращение} 	 type:NAN
капиталист - Представитель господствующего класса {Представитель} 	 type:NAN
капиталь - Полоса цветной материи {Полоса} 	 type:NAN
капитул - Коллегия духовных лиц {Коллегия} 	 type:NAN
капор - зимний головной убор {убор} 	 type:AAN 
капот - одежда широкого покроя {одежда} 	 type:NAN
капричио - произведения свободной формы {произведения} 	 type:NAN
капсула - Футлярчик из желатина {Футлярчик} 	 type:NPN
каптаж - Заключение минерального источника {Заключение} 	 type:NAN
каракуль","каракульча - овчина среднеазиатских ягнят {овчина} 	 type:NAN
карамазовщина - степень моральной безответственности {степень} 	 type:NAN
карамболь - Удар в бильярдной {Удар} 	 type:NPN
карандаш - палочка графита сухой краски {палочка} 	 type:NNAN 
карантин - пункт для осмотра {пункт} 	 type:NPN
карапуз - обозначение маленького ребенка {обозначение} 	 type:NAN
карась - рыба из семейства {рыба} 	 type:NPN
карат - Мера веса драгоценных камней {Мера} 	 type:NNAN 
караульня - Помещение для сторожа {Помещение} 	 type:NPN
кардинал - лиц римско-католической церкви {лиц} 	 type:NAN
кардинал - высших духовных лиц {лиц} 	 type:AAN 
кариоз - процесс в кости {процесс} 	 type:NPN
кармазин - Сукно темно цвета {Сукно} 	 type:NAN
карманьола - песня эпохи Великой {песня} 	 type:NNA 
карнавал - странах Западной Европы {странах} 	 type:NAN
карп - костистых пресноводных рыб {рыб} 	 type:AAN 
карст - свойство земной поверхности {свойство} 	 type:NAN
карта - Чертеж части земной поверхности {Чертеж} 	 type:NNAN 
картер - Приспособление для защиты {Приспособление} 	 type:NPN
картон - бумага особой выделки {бумага} 	 type:NAN
картонажи - изделия из картона {изделия} 	 type:NPN
картонка - Коробка из картона {Коробка} 	 type:NPN
картофелекопалка","картофелекопатель - Машина для уборки {Машина} 	 type:NPN
картофелесажалка","картофелесажатель - Машина для посадки {Машина} 	 type:NPN
карточка - снимок небольшого размера {снимок} 	 type:NAN
картёж - игра в карты {игра} 	 type:NPN
карчеподъёмник","карчеподъёмница - Снаряд для захватывания {Снаряд} 	 type:NPN
каскетка - убор вроде фуражки {убор} 	 type:NPN
кассация - Отмена судебного приговора {Отмена} 	 type:NAN
кат - Кран для подъема {Кран} 	 type:NPN
катарр","катар - Воспаление слизистых оболочек {Воспаление} 	 type:NAN
катафалк - Повозка для гроба {Повозка} 	 type:NPN
катенька - сторублевый кредитный билет {билет} 	 type:AAN 
катехизис - курс христианского богословия {курс} 	 type:NAN
католик - Человек римско-католического вероисповедания {Человек} 	 type:NAN
католикос - Глава армянской церкви {Глава} 	 type:NAN
католицизм - Вероисповедание католиков западной {Вероисповедание} 	 type:NNA 
каторга - Место принудительных работ {Место} 	 type:NAN
каупер - Сооружение для нагревания {Сооружение} 	 type:NPN
каурка - Лошадь каурой масти {Лошадь} 	 type:NAN
каучуконос - Растение из к {Растение} 	 type:NPN
кафе - ресторан с кофе {ресторан} 	 type:NPN
кафизма - отделов на к {отделов} 	 type:NPN
каша - Кушанье из крупы {Кушанье} 	 type:NPN
кашалот - Млекопитающее из отряда {Млекопитающее} 	 type:NPN
кашемир - тонкая камвольная ткань {ткань} 	 type:AAN 
каштан - деревьев из семейства {деревьев} 	 type:NPN
кают-компания - комната для пассажиров {комната} 	 type:NPN
квадриллион","квадрильон - Миллион в четвертой {Миллион} 	 type:NPN
квант","кванта - количество какой физической величины {количество} 	 type:NNAN 
кварта - Мера сыпучих тел {Мера} 	 type:NAN
квартирьер - лицо на к {лицо} 	 type:NPN
квасцы - различных двойных солей {солей} 	 type:AAN 
квасцы - двойных солей (солей {солей} 	 type:ANN 
квашня - кадка для теста {кадка} 	 type:NPN
квиетизм - отношение к жизни {отношение} 	 type:NPN
кегельбан - помещение для игры {помещение} 	 type:NPN
кегль - Величина типографской литеры {Величина} 	 type:NAN
кегля - столбик для игры {столбик} 	 type:NPN
кек-уок - Танец американских негров {Танец} 	 type:NAN
кенаф - трава семейства мальвовых {трава} 	 type:NNA 
кеньги - теплая зимняя обувь {обувь} 	 type:AAN 
кепка - убор без тульи {убор} 	 type:NPN
кератин - вещество из к {вещество} 	 type:NPN
кератит - Воспаление роговой оболочки {Воспаление} 	 type:NAN
керосинка - прибор для приготовления {прибор} 	 type:NPN
кета - рыба из семейства {рыба} 	 type:NPN
кивер - убор нек воинских частей {убор} 	 type:NNAN 
кивер - высокий головной убор {убор} 	 type:AAN 
кивер - головной убор нек {убор} 	 type:ANN 
килоуатт","килоуатт-час - Мера измерения рабочей силы {Мера} 	 type:NNAN 
кимограф - Прибор для измерения {Прибор} 	 type:NPN
кимоно - платье вроде халата {платье} 	 type:NPN
кимоно - женское домашнее платье {платье} 	 type:AAN 
киндяк - красная ткань (истор {ткань} 	 type:ANN 
кинематограф - Прибор для демонстрации {Прибор} 	 type:NPN
киноварь - Минерал красного цвета {Минерал} 	 type:NAN
киносеть - Сеть кинематографических театров {Сеть} 	 type:NAN
кипарис - южное вечнозеленое дерево {дерево} 	 type:AAN 
кипятильник - Аппарат для кипячения {Аппарат} 	 type:NPN
кисель - кушанье из какой {кушанье} 	 type:NPN
кисть - Приспособление для окрашивания {Приспособление} 	 type:NPN
китайка - гладкой хлопчатобумажной ткани {ткани} 	 type:AAN 
кичка - убор замужней женщины {убор} 	 type:NAN
клавесин - инструмент вроде фортепьяно {инструмент} 	 type:NPN
клавикорды - Фортепьяно старинного типа {Фортепьяно} 	 type:NAN
клавир - старинных названий фортепьяно {названий} 	 type:ANN 
клавираусцуг - Переложение для рояля {Переложение} 	 type:NPN
кладовая - Помещение для хранения {Помещение} 	 type:NPN
кларнет - духовой деревянный инструмент {инструмент} 	 type:AAN 
классификатор - Специалист по классификации {Специалист} 	 type:NPN
клевер - трава из семейства {трава} 	 type:NPN
клей - вещество для склеивания {вещество} 	 type:NPN
клепало - Орудие для клепания {Орудие} 	 type:NPN
клетка","клетками - Помещение для птиц {Помещение} 	 type:NPN
клеть - постройка для хранения {постройка} 	 type:NPN
клещевина - растение из семян {растение} 	 type:NPN
кликушество - заболевание у женщин {заболевание} 	 type:NPN
климат - Совокупность метеорологических условий {Совокупность} 	 type:NAN
клипер - трехмачтовый парусный корабль {корабль} 	 type:AAN 
клирос - Место для певчих {Место} 	 type:NPN
клоака - канал для стока {канал} 	 type:NPN
клобук - высокая цилиндрическая шапка {шапка} 	 type:AAN 
